"","Product","TitleOfReviews","NameOfReviewer","Date","Ratings","TypeOfReview","Reviews"
"1","Hills Garden Trigger Sprayer, 1 Liter Capacity Multicolor",NA,"Allan Cotterell","Reviewed in Australia on 8 January 2024","3.6 out of 5 stars","Verified Purchase","good size & quality"
"2","Hills Garden Trigger Sprayer, 1 Liter Capacity Multicolor",NA,"Sleeper","Reviewed in Australia on 20 February 2024","5.0 out of 5 stars","Verified Purchase","This is a very high-quality spray bottle. You will not be disappointed."
"3","Hills Garden Trigger Sprayer, 1 Liter Capacity Multicolor",NA,"Allan Cotterell","Reviewed in Australia on 8 January 2024","1.0 out of 5 stars","Verified Purchase","Great item, larger size fits purpose"
"4","Hills Garden Trigger Sprayer, 1 Liter Capacity Multicolor",NA,"Vonnie Allison","Reviewed in Australia on 21 October 2023","5.0 out of 5 stars","Verified Purchase","Gets the job done"
"5","Hills Garden Trigger Sprayer, 1 Liter Capacity Multicolor",NA,"Julez","Reviewed in Australia on 12 April 2023","5.0 out of 5 stars","Verified Purchase","Very good product, so far it works well"
"6","Hills Garden Trigger Sprayer, 1 Liter Capacity Multicolor",NA,"Liz","Reviewed in Australia on 4 August 2023","5.0 out of 5 stars",NA,NA
"7","Hills Garden Trigger Sprayer, 1 Liter Capacity Multicolor",NA,"Ludim Smith","Reviewed in Australia on 7 February 2023","5.0 out of 5 stars",NA,NA
"8","Hills Garden Trigger Sprayer, 1 Liter Capacity Multicolor",NA,NA,NA,"5.0 out of 5 stars",NA,NA
"9","Hills Garden Trigger Sprayer, 1 Liter Capacity Multicolor",NA,NA,NA,NA,NA,NA
"10","Hills Garden Trigger Sprayer, 1 Liter Capacity Multicolor",NA,NA,NA,NA,NA,NA
"11","Hills Garden Trigger Sprayer, 1 Liter Capacity Multicolor",NA,"Allan Cotterell","Reviewed in Australia on 8 January 2024","3.6 out of 5 stars","Verified Purchase","good size & quality"
"12","Hills Garden Trigger Sprayer, 1 Liter Capacity Multicolor",NA,"Sleeper","Reviewed in Australia on 20 February 2024","5.0 out of 5 stars","Verified Purchase","This is a very high-quality spray bottle. You will not be disappointed."
"13","Hills Garden Trigger Sprayer, 1 Liter Capacity Multicolor",NA,"Allan Cotterell","Reviewed in Australia on 8 January 2024","1.0 out of 5 stars","Verified Purchase","Great item, larger size fits purpose"
"14","Hills Garden Trigger Sprayer, 1 Liter Capacity Multicolor",NA,"Vonnie Allison","Reviewed in Australia on 21 October 2023","5.0 out of 5 stars","Verified Purchase","Gets the job done"
"15","Hills Garden Trigger Sprayer, 1 Liter Capacity Multicolor",NA,"Julez","Reviewed in Australia on 12 April 2023","5.0 out of 5 stars","Verified Purchase","Very good product, so far it works well"
"16","Hills Garden Trigger Sprayer, 1 Liter Capacity Multicolor",NA,"Liz","Reviewed in Australia on 4 August 2023","5.0 out of 5 stars",NA,NA
"17","Hills Garden Trigger Sprayer, 1 Liter Capacity Multicolor",NA,"Ludim Smith","Reviewed in Australia on 7 February 2023","5.0 out of 5 stars",NA,NA
"18","Hills Garden Trigger Sprayer, 1 Liter Capacity Multicolor",NA,NA,NA,"5.0 out of 5 stars",NA,NA
"19","Hills Garden Trigger Sprayer, 1 Liter Capacity Multicolor",NA,NA,NA,NA,NA,NA
"20","Hills Garden Trigger Sprayer, 1 Liter Capacity Multicolor",NA,NA,NA,NA,NA,NA
