"","Product","TitleOfReviews","NameOfReviewer","Date","Ratings","TypeOfReview","Reviews"
"1","ThermoPro TP65B Digital Wireless Hygrometer Indoor Outdoor",NA,"Mark","Reviewed in Australia on 30 June 2020","4.5 out of 5 stars","Verified Purchase","I am very happy with this product, the distance between the two is large estimate 25 to 30 meters  and the Conection between each other is fantastic!It can tell you indoor and outdoor temperature and humidity. It has a light and I haven't had to change the battery yet. Great product at a great price!"
"2","ThermoPro TP65B Digital Wireless Hygrometer Indoor Outdoor",NA,"Melanie","Reviewed in Australia on 17 May 2021","5.0 out of 5 stars","Verified Purchase","I love this product… 🫶👍After I bought this, several people I know also bought the same one… copycats 😺"
"3","ThermoPro TP65B Digital Wireless Hygrometer Indoor Outdoor",NA,"Rudolph Mineo","Reviewed in Australia on 12 April 2023","3.0 out of 5 stars","Verified Purchase","Would be good to give some breathing space before asking for review, but prime one day is an excellent service"
"4","ThermoPro TP65B Digital Wireless Hygrometer Indoor Outdoor",NA,"Anthony","Reviewed in Australia on 18 July 2023","5.0 out of 5 stars","Verified Purchase","Device can connect up to 3x external  sensors: I bought it with one additional sensor and have now purchased an additional sensor for a total of 3x external sensors plus the base station.Have one of the sensors measuring outdoor temperature and humidity and the other two inside guitar cases keeping an eye on humidity levels there. The outdoor readings are always in agreement with the numbers reported by Bureau Of Meteorology (Australia's national weather, climate and water agency) for my location, so I'm confident in their accuracy."
"5","ThermoPro TP65B Digital Wireless Hygrometer Indoor Outdoor",NA,"Ellem","Reviewed in Australia on 13 July 2023","5.0 out of 5 stars","Verified Purchase","This little weather station is a great size -  nice and compact but the screen is large enough to make reading the figures easy. I use it everyday and have found both the inside and outside temperature & humidity readings to be accurate and reliable. The batteries last many months before needing replacing. I had a small cosmetic issue with my original unit and the customer service provided by ThermoPro was fantastic."
"6","ThermoPro TP65B Digital Wireless Hygrometer Indoor Outdoor",NA,"Steve H.","Reviewed in Australia on 25 May 2022","5.0 out of 5 stars","Verified Purchase","Easy to set up and use. seems to be accurate enough."
"7","ThermoPro TP65B Digital Wireless Hygrometer Indoor Outdoor",NA,"Steve H.","Reviewed in Australia on 5 March 2022","5.0 out of 5 stars","Verified Purchase","Set it up with out and indoor sensors. It is quite consistent between the two sensors. Outdoor updates slower due to battery concerns but it is ok to use. Very good unit to monitor temp and humidity and data history."
"8","ThermoPro TP65B Digital Wireless Hygrometer Indoor Outdoor",NA,"Cpt","Reviewed in Australia on 28 April 2023","5.0 out of 5 stars","Verified Purchase","Easy setup. Pairs easily with out door sensor. Battery installation is a breeze. Improved display over the previous model. Highly recommended if u want indoor outdoor humidity/temperature monitors."
"9","ThermoPro TP65B Digital Wireless Hygrometer Indoor Outdoor",NA,"fujiflim user","Reviewed in Australia on 7 October 2022","5.0 out of 5 stars","Verified Purchase","This product does exactly what we wanted it to do- we can read the temperature and the humidity from the other side of the room. Accurate and reasonably priced!"
"10","ThermoPro TP65B Digital Wireless Hygrometer Indoor Outdoor",NA,"Guorium","Reviewed in Australia on 11 December 2022","5.0 out of 5 stars","Verified Purchase","Easy to set up and operate. Seems to be very curate. Good value for money"
