"","Product","TitleOfReviews","NameOfReviewer","Date","Ratings","TypeOfReview","Reviews"
"1","ThermoPro TP55 Digital Hygrometer Indoor Thermometer",NA,"Claire B.","Reviewed in the United States on October 11, 2020","4.6 out of 5 stars","Verified Purchase","Love this little square box of weather info. Easy to read and see from a distance.  Glad I purchased this. Magnetic to my refrigerator"
"2","ThermoPro TP55 Digital Hygrometer Indoor Thermometer",NA,"Amazon Customer","Reviewed in the United States on October 22, 2023","5.0 out of 5 stars","Verified Purchase","Works good for the price"
"3","ThermoPro TP55 Digital Hygrometer Indoor Thermometer",NA,"Amazon Customer","Reviewed in the United States on March 11, 2024","3.0 out of 5 stars","Verified Purchase","As far as I can tell the monitoring is pretty accurate according to how the room feels. I use it with my dehumidifier to monitor my bedroom humidity. Have a visual of it processing to reduce."
"4","ThermoPro TP55 Digital Hygrometer Indoor Thermometer",NA,"Mike","Reviewed in the United States on March 21, 2024","5.0 out of 5 stars","Verified Purchase","This works great"
"5","ThermoPro TP55 Digital Hygrometer Indoor Thermometer",NA,"Lester Auguste","Reviewed in the United States on February 26, 2024","5.0 out of 5 stars","Verified Purchase","Simple it works"
"6","ThermoPro TP55 Digital Hygrometer Indoor Thermometer",NA,"steven","Reviewed in the United States on March 19, 2024","5.0 out of 5 stars","Verified Purchase","It has a touch screen which is really nice, size yes it's small but I have it on the desk next to me so distance isn't a problem.  If you want something for distance such as 10 plus feet you can see it if you have decent eyesight but it could be difficult for some.  It's just really nice compact, feels and looks like quality.  No complaints."
"7","ThermoPro TP55 Digital Hygrometer Indoor Thermometer",NA,"Neackron","Reviewed in the United States on March 17, 2024","5.0 out of 5 stars","Verified Purchase","It easier to see the bigger numbers and the light up screen!!"
"8","ThermoPro TP55 Digital Hygrometer Indoor Thermometer",NA,"Todd Henrigillis","Reviewed in the United States on January 29, 2024","5.0 out of 5 stars","Verified Purchase","We have a very expensive Carrier 'smart' thermostat that consistently overstates the temperature and understates the humidity.  It caused our humidifier to be over-used and made the house too moist.  Unfortunately, I did not get these meters in time to beat the expiration of the thermostat's warranty, but the technician was able to 'fool' it to do less humidification.  Side by side these meters agree 99% of the time."
"9","ThermoPro TP55 Digital Hygrometer Indoor Thermometer",NA,"donna geltz","Reviewed in the United States on March 1, 2024","5.0 out of 5 stars","Verified Purchase","Works like a charm"
"10","ThermoPro TP55 Digital Hygrometer Indoor Thermometer",NA,"R. W. Gorham","Reviewed in the United States on January 28, 2024","5.0 out of 5 stars","Verified Purchase","Looks great and the right size for what I was looking for."
"11","ThermoPro TP55 Digital Hygrometer Indoor Thermometer",NA,"Claire B.","Reviewed in the United States on October 11, 2020","4.6 out of 5 stars","Verified Purchase","Love this little square box of weather info. Easy to read and see from a distance.  Glad I purchased this. Magnetic to my refrigerator"
"12","ThermoPro TP55 Digital Hygrometer Indoor Thermometer",NA,"Amazon Customer","Reviewed in the United States on October 22, 2023","5.0 out of 5 stars","Verified Purchase","Works good for the price"
"13","ThermoPro TP55 Digital Hygrometer Indoor Thermometer",NA,"Amazon Customer","Reviewed in the United States on March 11, 2024","3.0 out of 5 stars","Verified Purchase","As far as I can tell the monitoring is pretty accurate according to how the room feels. I use it with my dehumidifier to monitor my bedroom humidity. Have a visual of it processing to reduce."
"14","ThermoPro TP55 Digital Hygrometer Indoor Thermometer",NA,"Mike","Reviewed in the United States on March 21, 2024","5.0 out of 5 stars","Verified Purchase","This works great"
"15","ThermoPro TP55 Digital Hygrometer Indoor Thermometer",NA,"Lester Auguste","Reviewed in the United States on February 26, 2024","5.0 out of 5 stars","Verified Purchase","Simple it works"
"16","ThermoPro TP55 Digital Hygrometer Indoor Thermometer",NA,"steven","Reviewed in the United States on March 19, 2024","5.0 out of 5 stars","Verified Purchase","It has a touch screen which is really nice, size yes it's small but I have it on the desk next to me so distance isn't a problem.  If you want something for distance such as 10 plus feet you can see it if you have decent eyesight but it could be difficult for some.  It's just really nice compact, feels and looks like quality.  No complaints."
"17","ThermoPro TP55 Digital Hygrometer Indoor Thermometer",NA,"Neackron","Reviewed in the United States on March 17, 2024","5.0 out of 5 stars","Verified Purchase","It easier to see the bigger numbers and the light up screen!!"
"18","ThermoPro TP55 Digital Hygrometer Indoor Thermometer",NA,"Todd Henrigillis","Reviewed in the United States on January 29, 2024","5.0 out of 5 stars","Verified Purchase","We have a very expensive Carrier 'smart' thermostat that consistently overstates the temperature and understates the humidity.  It caused our humidifier to be over-used and made the house too moist.  Unfortunately, I did not get these meters in time to beat the expiration of the thermostat's warranty, but the technician was able to 'fool' it to do less humidification.  Side by side these meters agree 99% of the time."
"19","ThermoPro TP55 Digital Hygrometer Indoor Thermometer",NA,"donna geltz","Reviewed in the United States on March 1, 2024","5.0 out of 5 stars","Verified Purchase","Works like a charm"
"20","ThermoPro TP55 Digital Hygrometer Indoor Thermometer",NA,"R. W. Gorham","Reviewed in the United States on January 28, 2024","5.0 out of 5 stars","Verified Purchase","Looks great and the right size for what I was looking for."
"21","ThermoPro TP55 Digital Hygrometer Indoor Thermometer",NA,"Claire B.","Reviewed in the United States on October 11, 2020","4.6 out of 5 stars","Verified Purchase","Love this little square box of weather info. Easy to read and see from a distance.  Glad I purchased this. Magnetic to my refrigerator"
"22","ThermoPro TP55 Digital Hygrometer Indoor Thermometer",NA,"Amazon Customer","Reviewed in the United States on October 22, 2023","5.0 out of 5 stars","Verified Purchase","Works good for the price"
"23","ThermoPro TP55 Digital Hygrometer Indoor Thermometer",NA,"Amazon Customer","Reviewed in the United States on March 11, 2024","3.0 out of 5 stars","Verified Purchase","As far as I can tell the monitoring is pretty accurate according to how the room feels. I use it with my dehumidifier to monitor my bedroom humidity. Have a visual of it processing to reduce."
"24","ThermoPro TP55 Digital Hygrometer Indoor Thermometer",NA,"Mike","Reviewed in the United States on March 21, 2024","5.0 out of 5 stars","Verified Purchase","This works great"
"25","ThermoPro TP55 Digital Hygrometer Indoor Thermometer",NA,"Lester Auguste","Reviewed in the United States on February 26, 2024","5.0 out of 5 stars","Verified Purchase","Simple it works"
"26","ThermoPro TP55 Digital Hygrometer Indoor Thermometer",NA,"steven","Reviewed in the United States on March 19, 2024","5.0 out of 5 stars","Verified Purchase","It has a touch screen which is really nice, size yes it's small but I have it on the desk next to me so distance isn't a problem.  If you want something for distance such as 10 plus feet you can see it if you have decent eyesight but it could be difficult for some.  It's just really nice compact, feels and looks like quality.  No complaints."
"27","ThermoPro TP55 Digital Hygrometer Indoor Thermometer",NA,"Neackron","Reviewed in the United States on March 17, 2024","5.0 out of 5 stars","Verified Purchase","It easier to see the bigger numbers and the light up screen!!"
"28","ThermoPro TP55 Digital Hygrometer Indoor Thermometer",NA,"Todd Henrigillis","Reviewed in the United States on January 29, 2024","5.0 out of 5 stars","Verified Purchase","We have a very expensive Carrier 'smart' thermostat that consistently overstates the temperature and understates the humidity.  It caused our humidifier to be over-used and made the house too moist.  Unfortunately, I did not get these meters in time to beat the expiration of the thermostat's warranty, but the technician was able to 'fool' it to do less humidification.  Side by side these meters agree 99% of the time."
"29","ThermoPro TP55 Digital Hygrometer Indoor Thermometer",NA,"donna geltz","Reviewed in the United States on March 1, 2024","5.0 out of 5 stars","Verified Purchase","Works like a charm"
"30","ThermoPro TP55 Digital Hygrometer Indoor Thermometer",NA,"R. W. Gorham","Reviewed in the United States on January 28, 2024","5.0 out of 5 stars","Verified Purchase","Looks great and the right size for what I was looking for."
"31","ThermoPro TP55 Digital Hygrometer Indoor Thermometer",NA,"Claire B.","Reviewed in the United States on October 11, 2020","4.6 out of 5 stars","Verified Purchase","Love this little square box of weather info. Easy to read and see from a distance.  Glad I purchased this. Magnetic to my refrigerator"
"32","ThermoPro TP55 Digital Hygrometer Indoor Thermometer",NA,"Amazon Customer","Reviewed in the United States on October 22, 2023","5.0 out of 5 stars","Verified Purchase","Works good for the price"
"33","ThermoPro TP55 Digital Hygrometer Indoor Thermometer",NA,"Amazon Customer","Reviewed in the United States on March 11, 2024","3.0 out of 5 stars","Verified Purchase","As far as I can tell the monitoring is pretty accurate according to how the room feels. I use it with my dehumidifier to monitor my bedroom humidity. Have a visual of it processing to reduce."
"34","ThermoPro TP55 Digital Hygrometer Indoor Thermometer",NA,"Mike","Reviewed in the United States on March 21, 2024","5.0 out of 5 stars","Verified Purchase","This works great"
"35","ThermoPro TP55 Digital Hygrometer Indoor Thermometer",NA,"Lester Auguste","Reviewed in the United States on February 26, 2024","5.0 out of 5 stars","Verified Purchase","Simple it works"
"36","ThermoPro TP55 Digital Hygrometer Indoor Thermometer",NA,"steven","Reviewed in the United States on March 19, 2024","5.0 out of 5 stars","Verified Purchase","It has a touch screen which is really nice, size yes it's small but I have it on the desk next to me so distance isn't a problem.  If you want something for distance such as 10 plus feet you can see it if you have decent eyesight but it could be difficult for some.  It's just really nice compact, feels and looks like quality.  No complaints."
"37","ThermoPro TP55 Digital Hygrometer Indoor Thermometer",NA,"Neackron","Reviewed in the United States on March 17, 2024","5.0 out of 5 stars","Verified Purchase","It easier to see the bigger numbers and the light up screen!!"
"38","ThermoPro TP55 Digital Hygrometer Indoor Thermometer",NA,"Todd Henrigillis","Reviewed in the United States on January 29, 2024","5.0 out of 5 stars","Verified Purchase","We have a very expensive Carrier 'smart' thermostat that consistently overstates the temperature and understates the humidity.  It caused our humidifier to be over-used and made the house too moist.  Unfortunately, I did not get these meters in time to beat the expiration of the thermostat's warranty, but the technician was able to 'fool' it to do less humidification.  Side by side these meters agree 99% of the time."
"39","ThermoPro TP55 Digital Hygrometer Indoor Thermometer",NA,"donna geltz","Reviewed in the United States on March 1, 2024","5.0 out of 5 stars","Verified Purchase","Works like a charm"
"40","ThermoPro TP55 Digital Hygrometer Indoor Thermometer",NA,"R. W. Gorham","Reviewed in the United States on January 28, 2024","5.0 out of 5 stars","Verified Purchase","Looks great and the right size for what I was looking for."
"41","ThermoPro TP55 Digital Hygrometer Indoor Thermometer",NA,"Claire B.","Reviewed in the United States on October 11, 2020","4.6 out of 5 stars","Verified Purchase","Love this little square box of weather info. Easy to read and see from a distance.  Glad I purchased this. Magnetic to my refrigerator"
"42","ThermoPro TP55 Digital Hygrometer Indoor Thermometer",NA,"Amazon Customer","Reviewed in the United States on October 22, 2023","5.0 out of 5 stars","Verified Purchase","Works good for the price"
"43","ThermoPro TP55 Digital Hygrometer Indoor Thermometer",NA,"Amazon Customer","Reviewed in the United States on March 11, 2024","3.0 out of 5 stars","Verified Purchase","As far as I can tell the monitoring is pretty accurate according to how the room feels. I use it with my dehumidifier to monitor my bedroom humidity. Have a visual of it processing to reduce."
"44","ThermoPro TP55 Digital Hygrometer Indoor Thermometer",NA,"Mike","Reviewed in the United States on March 21, 2024","5.0 out of 5 stars","Verified Purchase","This works great"
"45","ThermoPro TP55 Digital Hygrometer Indoor Thermometer",NA,"Lester Auguste","Reviewed in the United States on February 26, 2024","5.0 out of 5 stars","Verified Purchase","Simple it works"
