"","Product","TitleOfReviews","NameOfReviewer","Date","Ratings","TypeOfReview","Reviews"
"1","Scotts Lawn Builder - Premium Slow Release Lawn Fertiliser 2.5kg",NA,"Sarah","Reviewed in Australia on 11 September 2022","4.7 out of 5 stars","Verified Purchase","Mix with soil then lay onto ground for best result, water daily for first 2 weeks"
"2","Scotts Lawn Builder - Premium Slow Release Lawn Fertiliser 2.5kg",NA,"Robert Y.","Reviewed in Australia on 24 November 2021","5.0 out of 5 stars","Verified Purchase","Great item works as stated. Didn't burn my lawn. Saw my lawn start to grow after 5 days of applying."
"3","Scotts Lawn Builder - Premium Slow Release Lawn Fertiliser 2.5kg",NA,"Wayne R Richardson","Reviewed in Australia on 23 January 2022","5.0 out of 5 stars","Verified Purchase","Ease of application"
"4","Scotts Lawn Builder - Premium Slow Release Lawn Fertiliser 2.5kg",NA,"Darren","Reviewed in Australia on 27 September 2020","5.0 out of 5 stars","Verified Purchase","This product came in smaller pack size than what I normally get from Bunnings. The smaller size was better for my lawn size but a little more expensive."
"5","Scotts Lawn Builder - Premium Slow Release Lawn Fertiliser 2.5kg",NA,"Sam Leaa","Reviewed in Australia on 1 July 2021","5.0 out of 5 stars","Verified Purchase","So goodDoes exactly what I needed it to do"
"6","Scotts Lawn Builder - Premium Slow Release Lawn Fertiliser 2.5kg",NA,"Cindy","Reviewed in Australia on 29 December 2020","5.0 out of 5 stars","Verified Purchase","Works really good. My grass is so much greener."
"7","Scotts Lawn Builder - Premium Slow Release Lawn Fertiliser 2.5kg",NA,NA,NA,"5.0 out of 5 stars",NA,NA
"8","Scotts Lawn Builder - Premium Slow Release Lawn Fertiliser 2.5kg",NA,NA,NA,NA,NA,NA
"9","Scotts Lawn Builder - Premium Slow Release Lawn Fertiliser 2.5kg",NA,NA,NA,NA,NA,NA
"10","Scotts Lawn Builder - Premium Slow Release Lawn Fertiliser 2.5kg",NA,NA,NA,NA,NA,NA
"11","Scotts Lawn Builder - Premium Slow Release Lawn Fertiliser 2.5kg",NA,"Sarah","Reviewed in Australia on 11 September 2022","4.7 out of 5 stars","Verified Purchase","Mix with soil then lay onto ground for best result, water daily for first 2 weeks"
"12","Scotts Lawn Builder - Premium Slow Release Lawn Fertiliser 2.5kg",NA,"Robert Y.","Reviewed in Australia on 24 November 2021","5.0 out of 5 stars","Verified Purchase","Great item works as stated. Didn't burn my lawn. Saw my lawn start to grow after 5 days of applying."
"13","Scotts Lawn Builder - Premium Slow Release Lawn Fertiliser 2.5kg",NA,"Wayne R Richardson","Reviewed in Australia on 23 January 2022","5.0 out of 5 stars","Verified Purchase","Ease of application"
"14","Scotts Lawn Builder - Premium Slow Release Lawn Fertiliser 2.5kg",NA,"Darren","Reviewed in Australia on 27 September 2020","5.0 out of 5 stars","Verified Purchase","This product came in smaller pack size than what I normally get from Bunnings. The smaller size was better for my lawn size but a little more expensive."
"15","Scotts Lawn Builder - Premium Slow Release Lawn Fertiliser 2.5kg",NA,"Sam Leaa","Reviewed in Australia on 1 July 2021","5.0 out of 5 stars","Verified Purchase","So goodDoes exactly what I needed it to do"
"16","Scotts Lawn Builder - Premium Slow Release Lawn Fertiliser 2.5kg",NA,"Cindy","Reviewed in Australia on 29 December 2020","5.0 out of 5 stars","Verified Purchase","Works really good. My grass is so much greener."
"17","Scotts Lawn Builder - Premium Slow Release Lawn Fertiliser 2.5kg",NA,NA,NA,"5.0 out of 5 stars",NA,NA
"18","Scotts Lawn Builder - Premium Slow Release Lawn Fertiliser 2.5kg",NA,NA,NA,NA,NA,NA
"19","Scotts Lawn Builder - Premium Slow Release Lawn Fertiliser 2.5kg",NA,NA,NA,NA,NA,NA
"20","Scotts Lawn Builder - Premium Slow Release Lawn Fertiliser 2.5kg",NA,NA,NA,NA,NA,NA
"21","Scotts Lawn Builder - Premium Slow Release Lawn Fertiliser 2.5kg",NA,"Sarah","Reviewed in Australia on 11 September 2022","4.7 out of 5 stars","Verified Purchase","Mix with soil then lay onto ground for best result, water daily for first 2 weeks"
"22","Scotts Lawn Builder - Premium Slow Release Lawn Fertiliser 2.5kg",NA,"Robert Y.","Reviewed in Australia on 24 November 2021","5.0 out of 5 stars","Verified Purchase","Great item works as stated. Didn't burn my lawn. Saw my lawn start to grow after 5 days of applying."
