"","Product","TitleOfReviews","NameOfReviewer","Date","Ratings","TypeOfReview","Reviews"
"1","Bamworld Wood Plant Stand",NA,"Sara","Reviewed in the United States on November 14, 2023","4.6 out of 5 stars","Verified Purchase","I’m pleased with this purchase, although it’s somewhat more fragile than I would have liked.  I’ve loaded it with my plants and it looks great.  I placed it near the (floor to ceiling) window in my living room where the plants can “sunbathe” all day.  The living room has wall-to-wall carpeting the small casters are somewhat difficult to maneuver on the carpeted surface."
"2","Bamworld Wood Plant Stand",NA,"Kelsey","Reviewed in the United States on March 1, 2024","5.0 out of 5 stars","Verified Purchase","Yes I purchased two of the plant stands that arrived yesterday and I put them together this morning. No tools were needed except the little mallet that they include and it was nice that they also included a pair of gloves for your hands. It was easy to put together, and seems sturdy enough for a dozen house plants. I was very pleased that there were a couple of extra pieces included in case something was cracked or broken. I was pleasantly surprised that they were exactly as advertised and I think they will suit my purpose. Perfectly good job I did buy the ones that had the casters , so that I could keep the rack up off my deck and be able to move the plants as needed."
"3","Bamworld Wood Plant Stand",NA,"DavaoJoe","Reviewed in the United States on March 4, 2024","3.0 out of 5 stars","Verified Purchase","I love that it has easy instructions and video(if needed). You can also combine another tower to this and build a bigger display."
"4","Bamworld Wood Plant Stand",NA,"Linda F Webber","Reviewed in the United States on January 30, 2024","5.0 out of 5 stars","Verified Purchase","This item is perfect and exactly what I was looking for and the price is right!"
"5","Bamworld Wood Plant Stand",NA,"Megan Hays","Reviewed in the United States on March 19, 2024","5.0 out of 5 stars","Verified Purchase","Great plant stand that is very durable. Daily easy to assemble and the small garden tools that come with it are a great bonus!"
"6","Bamworld Wood Plant Stand",NA,"Mema","Reviewed in the United States on March 24, 2024","5.0 out of 5 stars","Verified Purchase","The plant shelf is a good medium sized unit and I love ours!  I liked it so much I bought 2 of them!"
"7","Bamworld Wood Plant Stand",NA,"Mema","Reviewed in the United States on March 16, 2024","5.0 out of 5 stars","Verified Purchase","Very nice indoor plant display. Very easy to put it together."
"8","Bamworld Wood Plant Stand",NA,"shelby Webb","Reviewed in the United States on March 16, 2024","5.0 out of 5 stars","Verified Purchase","I must admit when the box arrived I really didn’t have high expectations for the plant stand to1. Being very sturdy2. Being the size advertised3. Being easy to assembleI must admit I was extremely impressed by the plant stand living up to all 3.  I’m so happy with them (I ordered 2).  I would most definitely recommend this product"
"9","Bamworld Wood Plant Stand",NA,"Peggy A. Mantei","Reviewed in the United States on March 22, 2024","5.0 out of 5 stars","Verified Purchase","It was so pretty, I didn't want to put it outside for my flowers."
"10","Bamworld Wood Plant Stand",NA,"sulugkana Duangpearach","Reviewed in the United States on February 19, 2024","5.0 out of 5 stars","Verified Purchase","Easy , comes with everything you need . I love it"
