"","Product","TitleOfReviews","NameOfReviewer","Date","Ratings","TypeOfReview","Reviews"
"1","Mortein Powergard Cockroach Baits 12 Pack",NA,"Howard McGarry",NA,"4.5 out of 5 stars","Verified Purchase","Just wat I wanted"
"2","Mortein Powergard Cockroach Baits 12 Pack",NA,"T-REX",NA,"5.0 out of 5 stars","Verified Purchase","Well packaged parcelNo complaints"
"3","Mortein Powergard Cockroach Baits 12 Pack",NA,"Howard McGarry",NA,"2.0 out of 5 stars","Verified Purchase","Works well"
"4","Mortein Powergard Cockroach Baits 12 Pack",NA,"Gaga",NA,"5.0 out of 5 stars","Verified Purchase","Reduced the insects"
"5","Mortein Powergard Cockroach Baits 12 Pack",NA,"Bron",NA,"5.0 out of 5 stars","Verified Purchase","Thankful for amazon deals. Very effective specially on those areas diffcult to reach. Safe with kids and pets.Bye pest"
"6","Mortein Powergard Cockroach Baits 12 Pack",NA,"Rehan",NA,"5.0 out of 5 stars","Verified Purchase","This is great. No sprays. No marks. I have seem roaches dying within 15 mins of having it"
"7","Mortein Powergard Cockroach Baits 12 Pack",NA,"Cheyaus",NA,"5.0 out of 5 stars",NA,NA
"8","Mortein Powergard Cockroach Baits 12 Pack",NA,"anonymous",NA,"5.0 out of 5 stars",NA,NA
"9","Mortein Powergard Cockroach Baits 12 Pack",NA,NA,NA,"5.0 out of 5 stars",NA,NA
"10","Mortein Powergard Cockroach Baits 12 Pack",NA,NA,NA,NA,NA,NA
"11","Mortein Powergard Cockroach Baits 12 Pack",NA,"Howard McGarry",NA,"4.5 out of 5 stars","Verified Purchase","Just wat I wanted"
"12","Mortein Powergard Cockroach Baits 12 Pack",NA,"T-REX",NA,"5.0 out of 5 stars","Verified Purchase","Well packaged parcelNo complaints"
"13","Mortein Powergard Cockroach Baits 12 Pack",NA,"Howard McGarry",NA,"2.0 out of 5 stars","Verified Purchase","Works well"
"14","Mortein Powergard Cockroach Baits 12 Pack",NA,"Gaga",NA,"5.0 out of 5 stars","Verified Purchase","Reduced the insects"
"15","Mortein Powergard Cockroach Baits 12 Pack",NA,"Bron",NA,"5.0 out of 5 stars","Verified Purchase","Thankful for amazon deals. Very effective specially on those areas diffcult to reach. Safe with kids and pets.Bye pest"
"16","Mortein Powergard Cockroach Baits 12 Pack",NA,"Rehan",NA,"5.0 out of 5 stars","Verified Purchase","This is great. No sprays. No marks. I have seem roaches dying within 15 mins of having it"
"17","Mortein Powergard Cockroach Baits 12 Pack",NA,"Cheyaus",NA,"5.0 out of 5 stars",NA,NA
"18","Mortein Powergard Cockroach Baits 12 Pack",NA,"anonymous",NA,"5.0 out of 5 stars",NA,NA
"19","Mortein Powergard Cockroach Baits 12 Pack",NA,NA,NA,"5.0 out of 5 stars",NA,NA
"20","Mortein Powergard Cockroach Baits 12 Pack",NA,NA,NA,NA,NA,NA
"21","Mortein Powergard Cockroach Baits 12 Pack",NA,"Howard McGarry",NA,"4.5 out of 5 stars","Verified Purchase","Just wat I wanted"
"22","Mortein Powergard Cockroach Baits 12 Pack",NA,"T-REX",NA,"5.0 out of 5 stars","Verified Purchase","Well packaged parcelNo complaints"
"23","Mortein Powergard Cockroach Baits 12 Pack",NA,"Howard McGarry",NA,"2.0 out of 5 stars","Verified Purchase","Works well"
"24","Mortein Powergard Cockroach Baits 12 Pack",NA,"Gaga",NA,"5.0 out of 5 stars","Verified Purchase","Reduced the insects"
"25","Mortein Powergard Cockroach Baits 12 Pack",NA,"Bron",NA,"5.0 out of 5 stars","Verified Purchase","Thankful for amazon deals. Very effective specially on those areas diffcult to reach. Safe with kids and pets.Bye pest"
"26","Mortein Powergard Cockroach Baits 12 Pack",NA,"Rehan",NA,"5.0 out of 5 stars","Verified Purchase","This is great. No sprays. No marks. I have seem roaches dying within 15 mins of having it"
"27","Mortein Powergard Cockroach Baits 12 Pack",NA,"Cheyaus",NA,"5.0 out of 5 stars",NA,NA
"28","Mortein Powergard Cockroach Baits 12 Pack",NA,"anonymous",NA,"5.0 out of 5 stars",NA,NA
"29","Mortein Powergard Cockroach Baits 12 Pack",NA,NA,NA,"5.0 out of 5 stars",NA,NA
"30","Mortein Powergard Cockroach Baits 12 Pack",NA,NA,NA,NA,NA,NA
"31","Mortein Powergard Cockroach Baits 12 Pack",NA,"Howard McGarry",NA,"4.5 out of 5 stars","Verified Purchase","Just wat I wanted"
"32","Mortein Powergard Cockroach Baits 12 Pack",NA,"T-REX",NA,"5.0 out of 5 stars","Verified Purchase","Well packaged parcelNo complaints"
"33","Mortein Powergard Cockroach Baits 12 Pack",NA,"Howard McGarry",NA,"2.0 out of 5 stars","Verified Purchase","Works well"
"34","Mortein Powergard Cockroach Baits 12 Pack",NA,"Gaga",NA,"5.0 out of 5 stars","Verified Purchase","Reduced the insects"
"35","Mortein Powergard Cockroach Baits 12 Pack",NA,"Bron",NA,"5.0 out of 5 stars","Verified Purchase","Thankful for amazon deals. Very effective specially on those areas diffcult to reach. Safe with kids and pets.Bye pest"
"36","Mortein Powergard Cockroach Baits 12 Pack",NA,"Rehan",NA,"5.0 out of 5 stars","Verified Purchase","This is great. No sprays. No marks. I have seem roaches dying within 15 mins of having it"
"37","Mortein Powergard Cockroach Baits 12 Pack",NA,"Cheyaus",NA,"5.0 out of 5 stars",NA,NA
"38","Mortein Powergard Cockroach Baits 12 Pack",NA,"anonymous",NA,"5.0 out of 5 stars",NA,NA
"39","Mortein Powergard Cockroach Baits 12 Pack",NA,NA,NA,"5.0 out of 5 stars",NA,NA
"40","Mortein Powergard Cockroach Baits 12 Pack",NA,NA,NA,NA,NA,NA
"41","Mortein Powergard Cockroach Baits 12 Pack",NA,"Howard McGarry",NA,"4.5 out of 5 stars","Verified Purchase","Just wat I wanted"
"42","Mortein Powergard Cockroach Baits 12 Pack",NA,"T-REX",NA,"5.0 out of 5 stars","Verified Purchase","Well packaged parcelNo complaints"
"43","Mortein Powergard Cockroach Baits 12 Pack",NA,"Howard McGarry",NA,"2.0 out of 5 stars","Verified Purchase","Works well"
"44","Mortein Powergard Cockroach Baits 12 Pack",NA,"Gaga",NA,"5.0 out of 5 stars","Verified Purchase","Reduced the insects"
"45","Mortein Powergard Cockroach Baits 12 Pack",NA,"Bron",NA,"5.0 out of 5 stars","Verified Purchase","Thankful for amazon deals. Very effective specially on those areas diffcult to reach. Safe with kids and pets.Bye pest"
"46","Mortein Powergard Cockroach Baits 12 Pack",NA,"Rehan",NA,"5.0 out of 5 stars","Verified Purchase","This is great. No sprays. No marks. I have seem roaches dying within 15 mins of having it"
"47","Mortein Powergard Cockroach Baits 12 Pack",NA,"Cheyaus",NA,"5.0 out of 5 stars",NA,NA
"48","Mortein Powergard Cockroach Baits 12 Pack",NA,"anonymous",NA,"5.0 out of 5 stars",NA,NA
"49","Mortein Powergard Cockroach Baits 12 Pack",NA,NA,NA,"5.0 out of 5 stars",NA,NA
"50","Mortein Powergard Cockroach Baits 12 Pack",NA,NA,NA,NA,NA,NA
