"","Product","TitleOfReviews","NameOfReviewer","Date","Ratings","TypeOfReview","Reviews"
"1","Super Ninja Fruit Fly Trap - 4 Traps - Highly Effective Ecological Fruit Fly Traps Indoor - Environmentally Responsible Fruit Fly Killer - User Friendly - Up to 3 Weeks per Bottle","Uitstekende prijs/kwaliteit","Sharleen Holmes","Reviewed in Australia on 4 February 2024","3.8 out of 5 stars","Verified Purchase","Had tried everything but couldn't get rid of the fruit flies.. bought 2 packs of 4 and placed them in odd places around the house, 3 in the kitchen, and 5 around the rest of the house. Overnight they practically disappeared. They are small bottles but effective, slight apple cider vinegar type of scent but not overpowering. Will be buying more to store just in case for future!"
"2","Super Ninja Fruit Fly Trap - 4 Traps - Highly Effective Ecological Fruit Fly Traps Indoor - Environmentally Responsible Fruit Fly Killer - User Friendly - Up to 3 Weeks per Bottle","This product really works!","Hayley/Phillie","Reviewed in Australia on 19 March 2024","5.0 out of 5 stars","Verified Purchase","The smell isn't offensive, and it immediately started working on all the tiny fruit flies and other bugs. Absolute legend"
"3","Super Ninja Fruit Fly Trap - 4 Traps - Highly Effective Ecological Fruit Fly Traps Indoor - Environmentally Responsible Fruit Fly Killer - User Friendly - Up to 3 Weeks per Bottle","Remarkably effective!","Sharleen Holmes","Reviewed in Australia on 4 February 2024","1.0 out of 5 stars","Verified Purchase","Dit is simpelweg de beste oplossing om van fruitvliegjes af te komen. Deze staat naast een ander merk bij ons en ze hebben een hele duidelijk voorkeur.Nu gekocht per 4, de resterende 3 komen volgend jaar wel van pas. 1 potje openen is dus voldoende voor onze benedenverdieping (60m2)"
"4","Super Ninja Fruit Fly Trap - 4 Traps - Highly Effective Ecological Fruit Fly Traps Indoor - Environmentally Responsible Fruit Fly Killer - User Friendly - Up to 3 Weeks per Bottle","Best of all product","Sharleen Holmes","Reviewed in Australia on 11 December 2023","5.0 out of 5 stars","Verified Purchase","I've made homemade fruit fly traps to no avail. This product really works! My refrigerator went out and leaked underneath, just enough to provide a breeding ground for these nasty critters. And they must have found other places, because they just kept coming and coming, in droves. I tried all sorts of remedies and finally I found these. I bought one and within days, it was literally filled with insects, so I bought another one. In a couple of days that was full, as well. I now have 3-4 strategically placed and the difference it's made is enormous. I went from literally hundreds of these fruit flies to almost none in just over a week or so. I mean, I had so many that I literally couldn't even eat a meal, even in the living room. I was killing 15-20 of them in an evening. People said to spray alcohol on them - that did nothing. Cider vinegar did nothing. This is the only thing that worked and I can't recommend it enough. $5 might seem pricey for the tiny bottle you get, but it's well worth the peace of mind you get in return when you're not battling swarms of fruit flies and know they're dying in that little bottle on the counter! I'll keep using these until they're all gone and keep a few on hand for any future outbreaks. I figure once the population thins out enough, they'll breed less and eventually they'll be gone. Finding out where they're still breeding is the remaining thing I have to do, but in the meantime, I feel like I've gotten my house back from them!UPDATE: I've been using these things for months. I can't find where these things are breeding, but I'm going to be looking for a new product. The last few I purchased just don't seem to be attracting the fruit flies like the previous batches. I've also noticed that some bottles are darker than others and some are filled with more liquid than others. I'm not sure if they're being watered down or what, but the last couple batches were not as effective and don't seem to be attracting the fruit flies. Plus, when I first started purchasing them the price was $4.99 per bottle. Then I saw some for 4 bottles for $11.99, but before I could order them the listing disappeared. Then the price went up to $6.99 for one bottle, but there was also a listing for 2 bottles for $7.99 (those were the batches that were weaker and not as effective). Now I see the price is up to $7.99 for just one bottle! I think that's pretty high, considering the last few batches I purchased weren't strong enough to attract the fruit flies. Very disappointed in the change in effectiveness and higher prices."
"5","Super Ninja Fruit Fly Trap - 4 Traps - Highly Effective Ecological Fruit Fly Traps Indoor - Environmentally Responsible Fruit Fly Killer - User Friendly - Up to 3 Weeks per Bottle","Produit fait le travail","N. Malone","Reviewed in the Netherlands on 4 November 2023","5.0 out of 5 stars","Verified Purchase","I had been stressed out for a week dealing with a fruit fly infestation, but this product attracted and killed most of the flies. Initially, the fruit flies didn't enter the tube, but after a few hours, I noticed many of them inside, dead. Highly recommend!"
"6","Super Ninja Fruit Fly Trap - 4 Traps - Highly Effective Ecological Fruit Fly Traps Indoor - Environmentally Responsible Fruit Fly Killer - User Friendly - Up to 3 Weeks per Bottle","Wirksame Fruchtfliegenfalle","Guido","Reviewed in the United States on 1 March 2023","5.0 out of 5 stars","Verified Purchase","We had incredible problems with fruit flies. Friday afternoon I distributed the 4 bottles all over the house and by Saturday not a single fly was left. Very efficient product."
"7","Super Ninja Fruit Fly Trap - 4 Traps - Highly Effective Ecological Fruit Fly Traps Indoor - Environmentally Responsible Fruit Fly Killer - User Friendly - Up to 3 Weeks per Bottle","Worked better than I thought","Sandra Limpert","Reviewed in the United Kingdom on 10 February 2024","5.0 out of 5 stars","Verified Purchase","Envahie de moucherons. Mis le produit à proximité cafetière et évier résultat le piége fonctionne trés bien."
"8","Super Ninja Fruit Fly Trap - 4 Traps - Highly Effective Ecological Fruit Fly Traps Indoor - Environmentally Responsible Fruit Fly Killer - User Friendly - Up to 3 Weeks per Bottle","Très efficace","PARK","Reviewed in the Netherlands on 6 November 2023","5.0 out of 5 stars","Verified Purchase","Nachdem wir letzten Sommer etliche Fruchtfliegen in der Küche hatten, und diese trotz einiger Hausmittel-Tricks nicht losbekamen, haben wir uns für diese Fruchtfliegenfalle entschieden. Auch wenn die preislich etwas teurer als z.B. die klebenden Fruchtfliegenfallen von DM sind, ist diese Falle super wirksam. Die Falle haben wir direkt in der Küche neben unserem Obst aufgestellt. Nachdem diese dort 1 Tag stand, waren wir etwas enttäuscht, da noch keine Fliege sich für diese Falle interessierte. Aber nach 2-3 Tagen waren bereits etliche Fliegen in der Falle, und nach ca. 1 Woche waren wir alle Fliegen los.Die Falle kann man mit dem mitgelieferten doppelseitigem Klebeband eigentliche überall hinkleben wo man möchte."
"9","Super Ninja Fruit Fly Trap - 4 Traps - Highly Effective Ecological Fruit Fly Traps Indoor - Environmentally Responsible Fruit Fly Killer - User Friendly - Up to 3 Weeks per Bottle",NA,"JT","Reviewed in France on 7 November 2023","5.0 out of 5 stars","Verified Purchase","I live in an apartment block with a shared kitchen. Unfortunately my neighbours are scruffs and don't empty the kitchen bins after themselves.This left an opening for hundreds of fruit flies. It was that bad they were getting inside the cupboards, in the fridge, and in my room.So I purchased just one of these and stuck it the wall close to the kitchen. It had a sweet smell of vinegar which attracts the midgies.For the 1st day I thought it wasn't working as I didn't see and fruit flies going near it. But the second day.. Loads. So now instead of them sneaking through the gaps in my door, they were going for this.I can't stop the scruffy neighbours from being lazy but I can stop the flies from entering where I don't want them.This little bottle last a long time. Well over a month"
"10","Super Ninja Fruit Fly Trap - 4 Traps - Highly Effective Ecological Fruit Fly Traps Indoor - Environmentally Responsible Fruit Fly Killer - User Friendly - Up to 3 Weeks per Bottle",NA,"gregory Vandenabeele","Reviewed in Germany on 4 February 2024","5.0 out of 5 stars","Verified Purchase","Très efficace. En une semaine mon invasion a été dissoute et réduite à néant. Je faisais très attention à l'hygiène, à ce que rien de traîne, et je les ai mis à des endroits stratégique et ça a fait le reste.Discret et esthétique j'en suis ravie."
"11","Super Ninja Fruit Fly Trap - 4 Traps - Highly Effective Ecological Fruit Fly Traps Indoor - Environmentally Responsible Fruit Fly Killer - User Friendly - Up to 3 Weeks per Bottle","It really works.","Sharleen Holmes","Reviewed in Australia on 4 February 2024","3.8 out of 5 stars","Verified Purchase","Wow. I had so many fruitflies during the summer near our organic wastebin. I put this stuff near the flies and the bin temporary outside and within 2 to 3 hours almost all of them are dead inside. Absolutely amazing product. Highly recommended. At the first hour the flies were a bit awaiting, but after a while they all went inside and die."
"12","Super Ninja Fruit Fly Trap - 4 Traps - Highly Effective Ecological Fruit Fly Traps Indoor - Environmentally Responsible Fruit Fly Killer - User Friendly - Up to 3 Weeks per Bottle","good stuff - flies love it","Hayley/Phillie","Reviewed in Australia on 19 March 2024","5.0 out of 5 stars","Verified Purchase","Works well"
"13","Super Ninja Fruit Fly Trap - 4 Traps - Highly Effective Ecological Fruit Fly Traps Indoor - Environmentally Responsible Fruit Fly Killer - User Friendly - Up to 3 Weeks per Bottle","It works!","Dion Troumpas","Reviewed in the Netherlands on 30 August 2023","1.0 out of 5 stars","Verified Purchase","These little traps are the real deal when it comes to battling those pesky fruit flies that invade our kitchens. I decided to give them a shot, and boy, was I in for a surprise!The traps are supposed to last about three weeks, and guess what? They delivered exactly as promised. I set one up, and within a short period, it started to work its magic. It caught so many flies, it was like a ninja stealthily taking them down one by one. I was both amazed and grossed out by the number of little buzzers it managed to trap. Eww, fruit flies, you've met your match! I totally forgot about one of the traps I had set. It stayed in my kitchen for way longer than it should have. When I finally stumbled upon it, let me tell you, it was a sight to behold. The flies that were caught in that trap had turned into some kind of bizarre, melted fly art.Of course, at that point, the trap had done its job and was no longer catching any more flies, as one would expect. I'm buying more of these Super Ninja Fruit Fly Traps. They proved their effectiveness, and I'm ready to tackle any future fruit fly invasions with my trusty ninja traps."
