"","Product","TitleOfReviews","NameOfReviewer","Date","Ratings","TypeOfReview","Reviews"
"1","Jabykare Extra Large Outdoor Rug ",NA,"Niki",NA,"4.2 out of 5 stars","Verified Purchase","Great mat, hasn’t faded in full sun and I just hose off when the dog has been out there"
"2","Jabykare Extra Large Outdoor Rug ",NA,"Matt N.",NA,"5.0 out of 5 stars","Verified Purchase","Love the size and strong fabric. Dirt hoses off . Perfect colour as per picture"
"3","Jabykare Extra Large Outdoor Rug ",NA,"Niki",NA,"3.0 out of 5 stars","Verified Purchase","Love that this rug is light weight and packs up to compact size ideal for caravan and motorhome. Easy to clean too. Delivery was speedy and good correspondence."
"4","Jabykare Extra Large Outdoor Rug ",NA,"Alisa",NA,"5.0 out of 5 stars","Verified Purchase","It looks great & is very comfortable under foot."
"5","Jabykare Extra Large Outdoor Rug ",NA,"kaye trezise",NA,"5.0 out of 5 stars","Verified Purchase","It is exactly what I was looking for. Easy to maintain, light and durable. Love the reversible design."
"6","Jabykare Extra Large Outdoor Rug ",NA,"Anne Brown",NA,"5.0 out of 5 stars","Verified Purchase","Great product looks good too"
"7","Jabykare Extra Large Outdoor Rug ",NA,"Anne Brown",NA,"5.0 out of 5 stars","Verified Purchase","Exactly what I’ve been looking for. Great product and prompt delivery thanks"
"8","Jabykare Extra Large Outdoor Rug ",NA,"Mrs. A. J. Tanna",NA,"5.0 out of 5 stars","Verified Purchase","The rug is great .  Fits exactly where we want it ."
"9","Jabykare Extra Large Outdoor Rug ",NA,"Great dash cam at a great price , night time is better than the blackvue that’s twice the price well done Vantrue A+",NA,"5.0 out of 5 stars","Verified Purchase","Perfect spa room mat."
"10","Jabykare Extra Large Outdoor Rug ",NA,"Duddles",NA,"5.0 out of 5 stars","Verified Purchase","I love its elegant design and plain colour.I haven’t used it as yes, waiting for moving to the new house with patio. I wish that rug was bigger size: 4.5m x 2m to cover fullypatios floor."
"11","Jabykare Extra Large Outdoor Rug ",NA,"Niki",NA,"4.2 out of 5 stars","Verified Purchase","We like the product although we will have to ankor it down as the breeze takes it on its travels.Not major easily fixed and I hope it is made from recycled plastic"
"12","Jabykare Extra Large Outdoor Rug ",NA,"Matt N.",NA,"5.0 out of 5 stars","Verified Purchase","Excellent product thanks"
"13","Jabykare Extra Large Outdoor Rug ",NA,"john Larner Grrrrr",NA,"3.0 out of 5 stars","Verified Purchase","Over all very happy with the product and delivery.  Just a note for possible buyers,  use the provided size guide and mark it out on the floor to access size suitability,  not the photos for accessing physical size of the product."
"14","Jabykare Extra Large Outdoor Rug ",NA,"Bradmack",NA,"5.0 out of 5 stars","Verified Purchase","Mat is soft but durable and I like that has been recycled from straws that otherwise can end up in the oceanI got Size 1.5 x 3 mt but ill probably get another one to increase.  Its nice to walk on to protect from stick and stones"
"15","Jabykare Extra Large Outdoor Rug ",NA,"Warren  P",NA,"5.0 out of 5 stars","Verified Purchase","Items arrived as described and delivery was super quick."
"16","Jabykare Extra Large Outdoor Rug ",NA,"Deb McK",NA,"5.0 out of 5 stars","Verified Purchase","Very happy with my purchase"
"17","Jabykare Extra Large Outdoor Rug ",NA,"Sharon Marshall",NA,"5.0 out of 5 stars",NA,NA
"18","Jabykare Extra Large Outdoor Rug ",NA,"Eve Pettit",NA,"5.0 out of 5 stars",NA,NA
"19","Jabykare Extra Large Outdoor Rug ",NA,NA,NA,"5.0 out of 5 stars",NA,NA
"20","Jabykare Extra Large Outdoor Rug ",NA,NA,NA,NA,NA,NA
"21","Jabykare Extra Large Outdoor Rug ",NA,"Niki",NA,"4.2 out of 5 stars",NA,NA
"22","Jabykare Extra Large Outdoor Rug ",NA,"Matt N.",NA,"5.0 out of 5 stars",NA,NA
"23","Jabykare Extra Large Outdoor Rug ",NA,NA,NA,"3.0 out of 5 stars",NA,NA
"24","Jabykare Extra Large Outdoor Rug ",NA,NA,NA,NA,NA,NA
"25","Jabykare Extra Large Outdoor Rug ",NA,NA,NA,NA,NA,NA
"26","Jabykare Extra Large Outdoor Rug ",NA,NA,NA,NA,NA,NA
"27","Jabykare Extra Large Outdoor Rug ",NA,NA,NA,NA,NA,NA
"28","Jabykare Extra Large Outdoor Rug ",NA,NA,NA,NA,NA,NA
"29","Jabykare Extra Large Outdoor Rug ",NA,NA,NA,NA,NA,NA
"30","Jabykare Extra Large Outdoor Rug ",NA,NA,NA,NA,NA,NA
"31","Jabykare Extra Large Outdoor Rug ",NA,"Niki",NA,"4.2 out of 5 stars",NA,NA
"32","Jabykare Extra Large Outdoor Rug ",NA,"Matt N.",NA,"5.0 out of 5 stars",NA,NA
"33","Jabykare Extra Large Outdoor Rug ",NA,NA,NA,"3.0 out of 5 stars",NA,NA
"34","Jabykare Extra Large Outdoor Rug ",NA,NA,NA,NA,NA,NA
"35","Jabykare Extra Large Outdoor Rug ",NA,NA,NA,NA,NA,NA
"36","Jabykare Extra Large Outdoor Rug ",NA,NA,NA,NA,NA,NA
"37","Jabykare Extra Large Outdoor Rug ",NA,NA,NA,NA,NA,NA
"38","Jabykare Extra Large Outdoor Rug ",NA,NA,NA,NA,NA,NA
"39","Jabykare Extra Large Outdoor Rug ",NA,NA,NA,NA,NA,NA
"40","Jabykare Extra Large Outdoor Rug ",NA,NA,NA,NA,NA,NA
"41","Jabykare Extra Large Outdoor Rug ",NA,"Niki",NA,"4.2 out of 5 stars",NA,NA
"42","Jabykare Extra Large Outdoor Rug ",NA,"Matt N.",NA,"5.0 out of 5 stars",NA,NA
"43","Jabykare Extra Large Outdoor Rug ",NA,NA,NA,"3.0 out of 5 stars",NA,NA
"44","Jabykare Extra Large Outdoor Rug ",NA,NA,NA,NA,NA,NA
"45","Jabykare Extra Large Outdoor Rug ",NA,NA,NA,NA,NA,NA
"46","Jabykare Extra Large Outdoor Rug ",NA,NA,NA,NA,NA,NA
"47","Jabykare Extra Large Outdoor Rug ",NA,NA,NA,NA,NA,NA
"48","Jabykare Extra Large Outdoor Rug ",NA,NA,NA,NA,NA,NA
"49","Jabykare Extra Large Outdoor Rug ",NA,NA,NA,NA,NA,NA
"50","Jabykare Extra Large Outdoor Rug ",NA,NA,NA,NA,NA,NA
