"","Product","TitleOfReviews","NameOfReviewer","Date","Ratings","TypeOfReview","Reviews"
"1","PALONE Electric Bug Zapper 3200V Mosquito Zapper ",NA,"Catherine F.",NA,"4.0 out of 5 stars","Verified Purchase","This bug zapper was ready to go right out of the box.  It comes with a chain, so that you can easily hang it anywhere.  The chain comes packaged in it's own little bag, but is very quick and easy to attach - it just clips right onto to the sides.  After that you attach the charging cord provided (or any micro USB cord), plug in and turn on! My only complaint, is that I wish it was a USB C cord instead for charging.  Other than that it's simple to use, works well, and is very lightweight."
"2","PALONE Electric Bug Zapper 3200V Mosquito Zapper ",NA,"La pola",NA,"5.0 out of 5 stars","Verified Purchase","I had a bad problem with yellow jackets. Tried many solutions but none worked. I was looking for a flat panel zapper because the round or square ones won't work for me. The yellow jackets were in the roof where the front wall meets near our front door. Mounted the zapper against the wall on one end and against the roof on the other. A little creative blocking with soft packing foam and duck tape and it was good to go. This thing was amazing. In two days my problem was pretty much solved. Will leave it up for the next week or so. The eggs in the nest will hatch and the problem will start again so gonna get the rest in a few days. Did not have the mounting very good and the zapper fell about six feet and bounced off the concrete. It still works. Nothing broke. Just a warning to anyone trying this. Yellow jackets are very tough. Although many were instantly killed, many fell to the ground and remained alive for quite some time. They weren't moving much but I wouldn't want pets or anyone near them until they died. Overall, this bug zapper was great. Left it on at night and fried a ton of mosquitoes. Good purchase."
"3","PALONE Electric Bug Zapper 3200V Mosquito Zapper ",NA,"Catherine F.",NA,"1.0 out of 5 stars","Verified Purchase","Brought this in the urgent need of getting rid of mosquito and flies especially now summer is here. My backyard now got chickens and they poop everywhere and its a not a fun picture where flies and all sorts of pests gather. This zapper killer worked well and kill plenty. I do hope it does not zap the chicken if it gets too close, where they flap their wings to reached the walls XD. It's really easy to install and easy to clean where i just shake a little, and all the dead flies comes off, noise wise is okay since Im placing outside."
"4","PALONE Electric Bug Zapper 3200V Mosquito Zapper ",NA,"Catherine F.",NA,"5.0 out of 5 stars","Verified Purchase","This definitely works we use for our balcony so we can sit outside on warm days without getting bit by bugs. World definitely recommend to anyone looking avoid pesky bugs."
"5","PALONE Electric Bug Zapper 3200V Mosquito Zapper ",NA,"John Bolin",NA,"5.0 out of 5 stars","Verified Purchase","Great bug zapper! But did lastNot sure about mosquitoes but gnats flies night bug Great. Zap zap loud like Bam!Great for flys by my chickensIT DID NOT LASTSO UPSETTINGGOT IT IN JUNE, didn’t last to AUGUST!!!Someone needs to replace this. I actually lose sleep so stupidNow my girls are sick from gnat mosquitoes etc. this thing killed everything until it stopped working!!!! 3-4 mos??? Really????Does the seller actually read this stuffIt’s hard for me to be upset of a purchase"
"6","PALONE Electric Bug Zapper 3200V Mosquito Zapper ",NA,"jackie",NA,"5.0 out of 5 stars","Verified Purchase","I was worried if the LED lamp would perform as well as the traditional fluorescent lamps.  After a week I can confirm that it does attract bugs.  My work area doesn’t have a lot of bugs that I’m aware of, but judging from the amount of bugs on the catch gray, it looks like there were more bugs than I thought.Although flies don’t seem to be that attracted to UV light.  I’ve only seen one fly getting trapped."
"7","PALONE Electric Bug Zapper 3200V Mosquito Zapper ",NA,"Ciara",NA,"5.0 out of 5 stars","Verified Purchase","I love the smell of mosquitoes getting fried in the morning! Love bugs but when it comes to mosquitoes , lantern flys and stink bugs in the house I kill ‘em all. I’d torture them if I could. World trade is slowly going to destroy 🇺🇸 it even makes a cool inside night light so you don’t have to turn on the bright white light that attracts bugs to your house."
"8","PALONE Electric Bug Zapper 3200V Mosquito Zapper ",NA,"Lisa",NA,"5.0 out of 5 stars","Verified Purchase","This has quite a large killing area over the cylindrical style ones that we've had before. The design makes it very easy to clean and the high voltage bars are not so easy to deform as in the cylinder design. They are much more rigid and look to last a lot longer. The 'black light' tubes do seem to lure the insects and our back porch is much nicer to sit in at dusk and sunset than before we got them. We're pleased with this product."
"9","PALONE Electric Bug Zapper 3200V Mosquito Zapper ",NA,"Lisa",NA,"5.0 out of 5 stars","Verified Purchase","Only thing bad about it is sometimes bugs get stuck and zaps constantly, but that would happen on most other ones. Kills the moths and beetles that fly around my back porch"
"10","PALONE Electric Bug Zapper 3200V Mosquito Zapper ",NA,"D. Liu",NA,"5.0 out of 5 stars","Verified Purchase","DOES ITS JOB."
