"","Product","TitleOfReviews","NameOfReviewer","Date","Ratings","TypeOfReview","Reviews"
"1","Mosquito Killer Lamp, Efficient Bug Zapper Electric Fly Zapper, Electric Fly Killer Fly Catcher Fly Traps for Home Use, Insect Killer Fruit Fly Trap Indoor Outdoor for Home",NA,"Dunker","Reviewed in Australia on 12 January 2024","1.8 out of 5 stars","Verified Purchase","Unfortunately it doesn't meet my expectations.  It turns on....well most of it.  Fan and 2 of 4 lights.  Followed instructions had running 48hrs straight but only caught 1 mozzie in 3 long attemps.  Wouldn't recommend."
"2","Mosquito Killer Lamp, Efficient Bug Zapper Electric Fly Zapper, Electric Fly Killer Fly Catcher Fly Traps for Home Use, Insect Killer Fruit Fly Trap Indoor Outdoor for Home",NA,"InsectBitten","Reviewed in Australia on 19 January 2024","1.0 out of 5 stars","Verified Purchase","After days and days of being on in rooms with insects, not a single one caught.There is no option to run without being plugged in, but as it achieves nothing anyway, why bother?Returnned"
"3","Mosquito Killer Lamp, Efficient Bug Zapper Electric Fly Zapper, Electric Fly Killer Fly Catcher Fly Traps for Home Use, Insect Killer Fruit Fly Trap Indoor Outdoor for Home",NA,"Morgan Jones","Reviewed in Australia on 10 January 2024","1.0 out of 5 stars","Verified Purchase","Left on in the laundry for a week, didn't catch a single mosquito even though they were in the room"
"4","Mosquito Killer Lamp, Efficient Bug Zapper Electric Fly Zapper, Electric Fly Killer Fly Catcher Fly Traps for Home Use, Insect Killer Fruit Fly Trap Indoor Outdoor for Home",NA,"Usman Naqshbandi","Reviewed in Australia on 28 January 2024","1.0 out of 5 stars","Verified Purchase","Nonsense...with a capital N."
"5","Mosquito Killer Lamp, Efficient Bug Zapper Electric Fly Zapper, Electric Fly Killer Fly Catcher Fly Traps for Home Use, Insect Killer Fruit Fly Trap Indoor Outdoor for Home",NA,"Ash","Reviewed in Australia on 5 January 2024","1.0 out of 5 stars","Verified Purchase","Worst...not working.. Is this a toy??"
"6","Mosquito Killer Lamp, Efficient Bug Zapper Electric Fly Zapper, Electric Fly Killer Fly Catcher Fly Traps for Home Use, Insect Killer Fruit Fly Trap Indoor Outdoor for Home",NA,NA,NA,"1.0 out of 5 stars",NA,NA
"7","Mosquito Killer Lamp, Efficient Bug Zapper Electric Fly Zapper, Electric Fly Killer Fly Catcher Fly Traps for Home Use, Insect Killer Fruit Fly Trap Indoor Outdoor for Home",NA,NA,NA,NA,NA,NA
"8","Mosquito Killer Lamp, Efficient Bug Zapper Electric Fly Zapper, Electric Fly Killer Fly Catcher Fly Traps for Home Use, Insect Killer Fruit Fly Trap Indoor Outdoor for Home",NA,NA,NA,NA,NA,NA
"9","Mosquito Killer Lamp, Efficient Bug Zapper Electric Fly Zapper, Electric Fly Killer Fly Catcher Fly Traps for Home Use, Insect Killer Fruit Fly Trap Indoor Outdoor for Home",NA,NA,NA,NA,NA,NA
"10","Mosquito Killer Lamp, Efficient Bug Zapper Electric Fly Zapper, Electric Fly Killer Fly Catcher Fly Traps for Home Use, Insect Killer Fruit Fly Trap Indoor Outdoor for Home",NA,NA,NA,NA,NA,NA
"11","Mosquito Killer Lamp, Efficient Bug Zapper Electric Fly Zapper, Electric Fly Killer Fly Catcher Fly Traps for Home Use, Insect Killer Fruit Fly Trap Indoor Outdoor for Home",NA,"Dunker","Reviewed in Australia on 12 January 2024","1.8 out of 5 stars","Verified Purchase","Unfortunately it doesn't meet my expectations.  It turns on....well most of it.  Fan and 2 of 4 lights.  Followed instructions had running 48hrs straight but only caught 1 mozzie in 3 long attemps.  Wouldn't recommend."
"12","Mosquito Killer Lamp, Efficient Bug Zapper Electric Fly Zapper, Electric Fly Killer Fly Catcher Fly Traps for Home Use, Insect Killer Fruit Fly Trap Indoor Outdoor for Home",NA,"InsectBitten","Reviewed in Australia on 19 January 2024","1.0 out of 5 stars","Verified Purchase","After days and days of being on in rooms with insects, not a single one caught.There is no option to run without being plugged in, but as it achieves nothing anyway, why bother?Returnned"
"13","Mosquito Killer Lamp, Efficient Bug Zapper Electric Fly Zapper, Electric Fly Killer Fly Catcher Fly Traps for Home Use, Insect Killer Fruit Fly Trap Indoor Outdoor for Home",NA,"Morgan Jones","Reviewed in Australia on 10 January 2024","1.0 out of 5 stars","Verified Purchase","Left on in the laundry for a week, didn't catch a single mosquito even though they were in the room"
"14","Mosquito Killer Lamp, Efficient Bug Zapper Electric Fly Zapper, Electric Fly Killer Fly Catcher Fly Traps for Home Use, Insect Killer Fruit Fly Trap Indoor Outdoor for Home",NA,"Usman Naqshbandi","Reviewed in Australia on 28 January 2024","1.0 out of 5 stars","Verified Purchase","Nonsense...with a capital N."
"15","Mosquito Killer Lamp, Efficient Bug Zapper Electric Fly Zapper, Electric Fly Killer Fly Catcher Fly Traps for Home Use, Insect Killer Fruit Fly Trap Indoor Outdoor for Home",NA,"Ash","Reviewed in Australia on 5 January 2024","1.0 out of 5 stars","Verified Purchase","Worst...not working.. Is this a toy??"
"16","Mosquito Killer Lamp, Efficient Bug Zapper Electric Fly Zapper, Electric Fly Killer Fly Catcher Fly Traps for Home Use, Insect Killer Fruit Fly Trap Indoor Outdoor for Home",NA,NA,NA,"1.0 out of 5 stars",NA,NA
"17","Mosquito Killer Lamp, Efficient Bug Zapper Electric Fly Zapper, Electric Fly Killer Fly Catcher Fly Traps for Home Use, Insect Killer Fruit Fly Trap Indoor Outdoor for Home",NA,NA,NA,NA,NA,NA
"18","Mosquito Killer Lamp, Efficient Bug Zapper Electric Fly Zapper, Electric Fly Killer Fly Catcher Fly Traps for Home Use, Insect Killer Fruit Fly Trap Indoor Outdoor for Home",NA,NA,NA,NA,NA,NA
"19","Mosquito Killer Lamp, Efficient Bug Zapper Electric Fly Zapper, Electric Fly Killer Fly Catcher Fly Traps for Home Use, Insect Killer Fruit Fly Trap Indoor Outdoor for Home",NA,NA,NA,NA,NA,NA
"20","Mosquito Killer Lamp, Efficient Bug Zapper Electric Fly Zapper, Electric Fly Killer Fly Catcher Fly Traps for Home Use, Insect Killer Fruit Fly Trap Indoor Outdoor for Home",NA,NA,NA,NA,NA,NA
"21","Mosquito Killer Lamp, Efficient Bug Zapper Electric Fly Zapper, Electric Fly Killer Fly Catcher Fly Traps for Home Use, Insect Killer Fruit Fly Trap Indoor Outdoor for Home",NA,"Dunker","Reviewed in Australia on 12 January 2024","1.8 out of 5 stars","Verified Purchase","Unfortunately it doesn't meet my expectations.  It turns on....well most of it.  Fan and 2 of 4 lights.  Followed instructions had running 48hrs straight but only caught 1 mozzie in 3 long attemps.  Wouldn't recommend."
"22","Mosquito Killer Lamp, Efficient Bug Zapper Electric Fly Zapper, Electric Fly Killer Fly Catcher Fly Traps for Home Use, Insect Killer Fruit Fly Trap Indoor Outdoor for Home",NA,"InsectBitten","Reviewed in Australia on 19 January 2024","1.0 out of 5 stars","Verified Purchase","After days and days of being on in rooms with insects, not a single one caught.There is no option to run without being plugged in, but as it achieves nothing anyway, why bother?Returnned"
"23","Mosquito Killer Lamp, Efficient Bug Zapper Electric Fly Zapper, Electric Fly Killer Fly Catcher Fly Traps for Home Use, Insect Killer Fruit Fly Trap Indoor Outdoor for Home",NA,"Morgan Jones","Reviewed in Australia on 10 January 2024","1.0 out of 5 stars","Verified Purchase","Left on in the laundry for a week, didn't catch a single mosquito even though they were in the room"
"24","Mosquito Killer Lamp, Efficient Bug Zapper Electric Fly Zapper, Electric Fly Killer Fly Catcher Fly Traps for Home Use, Insect Killer Fruit Fly Trap Indoor Outdoor for Home",NA,"Usman Naqshbandi","Reviewed in Australia on 28 January 2024","1.0 out of 5 stars","Verified Purchase","Nonsense...with a capital N."
"25","Mosquito Killer Lamp, Efficient Bug Zapper Electric Fly Zapper, Electric Fly Killer Fly Catcher Fly Traps for Home Use, Insect Killer Fruit Fly Trap Indoor Outdoor for Home",NA,"Ash","Reviewed in Australia on 5 January 2024","1.0 out of 5 stars","Verified Purchase","Worst...not working.. Is this a toy??"
"26","Mosquito Killer Lamp, Efficient Bug Zapper Electric Fly Zapper, Electric Fly Killer Fly Catcher Fly Traps for Home Use, Insect Killer Fruit Fly Trap Indoor Outdoor for Home",NA,NA,NA,"1.0 out of 5 stars",NA,NA
"27","Mosquito Killer Lamp, Efficient Bug Zapper Electric Fly Zapper, Electric Fly Killer Fly Catcher Fly Traps for Home Use, Insect Killer Fruit Fly Trap Indoor Outdoor for Home",NA,NA,NA,NA,NA,NA
"28","Mosquito Killer Lamp, Efficient Bug Zapper Electric Fly Zapper, Electric Fly Killer Fly Catcher Fly Traps for Home Use, Insect Killer Fruit Fly Trap Indoor Outdoor for Home",NA,NA,NA,NA,NA,NA
"29","Mosquito Killer Lamp, Efficient Bug Zapper Electric Fly Zapper, Electric Fly Killer Fly Catcher Fly Traps for Home Use, Insect Killer Fruit Fly Trap Indoor Outdoor for Home",NA,NA,NA,NA,NA,NA
"30","Mosquito Killer Lamp, Efficient Bug Zapper Electric Fly Zapper, Electric Fly Killer Fly Catcher Fly Traps for Home Use, Insect Killer Fruit Fly Trap Indoor Outdoor for Home",NA,NA,NA,NA,NA,NA
"31","Mosquito Killer Lamp, Efficient Bug Zapper Electric Fly Zapper, Electric Fly Killer Fly Catcher Fly Traps for Home Use, Insect Killer Fruit Fly Trap Indoor Outdoor for Home",NA,"Dunker","Reviewed in Australia on 12 January 2024","1.8 out of 5 stars","Verified Purchase","Unfortunately it doesn't meet my expectations.  It turns on....well most of it.  Fan and 2 of 4 lights.  Followed instructions had running 48hrs straight but only caught 1 mozzie in 3 long attemps.  Wouldn't recommend."
