"","Product","TitleOfReviews","NameOfReviewer","Date","Ratings","TypeOfReview","Reviews"
"1","Mortein Fast Knockdown Crawling Insect Killer Odourless 350g",NA,"Eva Karolyova","Reviewed in Australia on 24 March 2024","4.8 out of 5 stars","Verified Purchase","Best insects killer"
"2","Mortein Fast Knockdown Crawling Insect Killer Odourless 350g",NA,"Kai","Reviewed in Australia on 23 February 2023","5.0 out of 5 stars","Verified Purchase","Amazing against cockroaches (Even against those German cockroaches too!) I bought a few of these & I love this product so much!"
"3","Mortein Fast Knockdown Crawling Insect Killer Odourless 350g",NA,NA,NA,"5.0 out of 5 stars",NA,NA
"4","Mortein Fast Knockdown Crawling Insect Killer Odourless 350g",NA,NA,NA,NA,NA,NA
"5","Mortein Fast Knockdown Crawling Insect Killer Odourless 350g",NA,NA,NA,NA,NA,NA
"6","Mortein Fast Knockdown Crawling Insect Killer Odourless 350g",NA,NA,NA,NA,NA,NA
"7","Mortein Fast Knockdown Crawling Insect Killer Odourless 350g",NA,NA,NA,NA,NA,NA
"8","Mortein Fast Knockdown Crawling Insect Killer Odourless 350g",NA,NA,NA,NA,NA,NA
"9","Mortein Fast Knockdown Crawling Insect Killer Odourless 350g",NA,NA,NA,NA,NA,NA
"10","Mortein Fast Knockdown Crawling Insect Killer Odourless 350g",NA,NA,NA,NA,NA,NA
"11","Mortein Fast Knockdown Crawling Insect Killer Odourless 350g",NA,"Eva Karolyova","Reviewed in Australia on 24 March 2024","4.8 out of 5 stars","Verified Purchase","Best insects killer"
"12","Mortein Fast Knockdown Crawling Insect Killer Odourless 350g",NA,"Kai","Reviewed in Australia on 23 February 2023","5.0 out of 5 stars","Verified Purchase","Amazing against cockroaches (Even against those German cockroaches too!) I bought a few of these & I love this product so much!"
"13","Mortein Fast Knockdown Crawling Insect Killer Odourless 350g",NA,NA,NA,"5.0 out of 5 stars",NA,NA
"14","Mortein Fast Knockdown Crawling Insect Killer Odourless 350g",NA,NA,NA,NA,NA,NA
"15","Mortein Fast Knockdown Crawling Insect Killer Odourless 350g",NA,NA,NA,NA,NA,NA
"16","Mortein Fast Knockdown Crawling Insect Killer Odourless 350g",NA,NA,NA,NA,NA,NA
"17","Mortein Fast Knockdown Crawling Insect Killer Odourless 350g",NA,NA,NA,NA,NA,NA
"18","Mortein Fast Knockdown Crawling Insect Killer Odourless 350g",NA,NA,NA,NA,NA,NA
"19","Mortein Fast Knockdown Crawling Insect Killer Odourless 350g",NA,NA,NA,NA,NA,NA
"20","Mortein Fast Knockdown Crawling Insect Killer Odourless 350g",NA,NA,NA,NA,NA,NA
"21","Mortein Fast Knockdown Crawling Insect Killer Odourless 350g",NA,"Eva Karolyova","Reviewed in Australia on 24 March 2024","4.8 out of 5 stars","Verified Purchase","Best insects killer"
"22","Mortein Fast Knockdown Crawling Insect Killer Odourless 350g",NA,"Kai","Reviewed in Australia on 23 February 2023","5.0 out of 5 stars","Verified Purchase","Amazing against cockroaches (Even against those German cockroaches too!) I bought a few of these & I love this product so much!"
"23","Mortein Fast Knockdown Crawling Insect Killer Odourless 350g",NA,NA,NA,"5.0 out of 5 stars",NA,NA
"24","Mortein Fast Knockdown Crawling Insect Killer Odourless 350g",NA,NA,NA,NA,NA,NA
"25","Mortein Fast Knockdown Crawling Insect Killer Odourless 350g",NA,NA,NA,NA,NA,NA
"26","Mortein Fast Knockdown Crawling Insect Killer Odourless 350g",NA,NA,NA,NA,NA,NA
"27","Mortein Fast Knockdown Crawling Insect Killer Odourless 350g",NA,NA,NA,NA,NA,NA
"28","Mortein Fast Knockdown Crawling Insect Killer Odourless 350g",NA,NA,NA,NA,NA,NA
"29","Mortein Fast Knockdown Crawling Insect Killer Odourless 350g",NA,NA,NA,NA,NA,NA
"30","Mortein Fast Knockdown Crawling Insect Killer Odourless 350g",NA,NA,NA,NA,NA,NA
"31","Mortein Fast Knockdown Crawling Insect Killer Odourless 350g",NA,"Eva Karolyova","Reviewed in Australia on 24 March 2024","4.8 out of 5 stars","Verified Purchase","Best insects killer"
"32","Mortein Fast Knockdown Crawling Insect Killer Odourless 350g",NA,"Kai","Reviewed in Australia on 23 February 2023","5.0 out of 5 stars","Verified Purchase","Amazing against cockroaches (Even against those German cockroaches too!) I bought a few of these & I love this product so much!"
"33","Mortein Fast Knockdown Crawling Insect Killer Odourless 350g",NA,NA,NA,"5.0 out of 5 stars",NA,NA
"34","Mortein Fast Knockdown Crawling Insect Killer Odourless 350g",NA,NA,NA,NA,NA,NA
"35","Mortein Fast Knockdown Crawling Insect Killer Odourless 350g",NA,NA,NA,NA,NA,NA
"36","Mortein Fast Knockdown Crawling Insect Killer Odourless 350g",NA,NA,NA,NA,NA,NA
"37","Mortein Fast Knockdown Crawling Insect Killer Odourless 350g",NA,NA,NA,NA,NA,NA
"38","Mortein Fast Knockdown Crawling Insect Killer Odourless 350g",NA,NA,NA,NA,NA,NA
"39","Mortein Fast Knockdown Crawling Insect Killer Odourless 350g",NA,NA,NA,NA,NA,NA
"40","Mortein Fast Knockdown Crawling Insect Killer Odourless 350g",NA,NA,NA,NA,NA,NA
