"","Product","TitleOfReviews","NameOfReviewer","Date","Ratings","TypeOfReview","Reviews"
"1","Defender Slug and Snail Pellets 600g",NA,"Salai Manimudian M S A","Reviewed in Australia on 24 February 2024","4.6 out of 5 stars","Verified Purchase","works well. expect a massacre in the garden~!"
"2","Defender Slug and Snail Pellets 600g",NA,"IndOzmum","Reviewed in Australia on 2 November 2022","5.0 out of 5 stars","Verified Purchase","It works!"
"3","Defender Slug and Snail Pellets 600g",NA,"J","Reviewed in Australia on 21 October 2021","3.0 out of 5 stars","Verified Purchase","😊"
"4","Defender Slug and Snail Pellets 600g",NA,"R","Reviewed in Australia on 27 November 2021","5.0 out of 5 stars","Verified Purchase","No garden should be without it. I highly recommend this seller"
"5","Defender Slug and Snail Pellets 600g",NA,"cjane","Reviewed in Australia on 17 October 2021","5.0 out of 5 stars","Verified Purchase","No complaints"
"6","Defender Slug and Snail Pellets 600g",NA,"Greg Blackett","Reviewed in Australia on 29 October 2022","5.0 out of 5 stars","Verified Purchase","Convenient for me"
"7","Defender Slug and Snail Pellets 600g",NA,"Scott","Reviewed in Australia on 1 March 2023","5.0 out of 5 stars",NA,NA
"8","Defender Slug and Snail Pellets 600g",NA,"Catherine","Reviewed in Australia on 13 April 2023","5.0 out of 5 stars",NA,NA
"9","Defender Slug and Snail Pellets 600g",NA,NA,NA,"5.0 out of 5 stars",NA,NA
"10","Defender Slug and Snail Pellets 600g",NA,NA,NA,NA,NA,NA
"11","Defender Slug and Snail Pellets 600g",NA,"Salai Manimudian M S A","Reviewed in Australia on 24 February 2024","4.6 out of 5 stars","Verified Purchase","works well. expect a massacre in the garden~!"
"12","Defender Slug and Snail Pellets 600g",NA,"IndOzmum","Reviewed in Australia on 2 November 2022","5.0 out of 5 stars","Verified Purchase","It works!"
"13","Defender Slug and Snail Pellets 600g",NA,"J","Reviewed in Australia on 21 October 2021","3.0 out of 5 stars","Verified Purchase","😊"
"14","Defender Slug and Snail Pellets 600g",NA,"R","Reviewed in Australia on 27 November 2021","5.0 out of 5 stars","Verified Purchase","No garden should be without it. I highly recommend this seller"
