"","Product","TitleOfReviews","NameOfReviewer","Date","Ratings","TypeOfReview","Reviews"
"1","40 PCS Sticky Traps, GeeRic Sticky Fruit Fly and Plant Gnat Bug Traps for Indoor/Outdoor Use, Dual-Sided Blue Sticky Traps Insect Catcher for White Flies, Mosquitos, Fungus Gnats, Flying Insects",NA,"Ange n Sulley","Reviewed in Australia on 20 November 2023","4.2 out of 5 stars","Verified Purchase","Works a treat!"
"2","40 PCS Sticky Traps, GeeRic Sticky Fruit Fly and Plant Gnat Bug Traps for Indoor/Outdoor Use, Dual-Sided Blue Sticky Traps Insect Catcher for White Flies, Mosquitos, Fungus Gnats, Flying Insects",NA,"SophK","Reviewed in Australia on 20 January 2024","5.0 out of 5 stars","Verified Purchase","Traps all the gnats!"
"3","40 PCS Sticky Traps, GeeRic Sticky Fruit Fly and Plant Gnat Bug Traps for Indoor/Outdoor Use, Dual-Sided Blue Sticky Traps Insect Catcher for White Flies, Mosquitos, Fungus Gnats, Flying Insects",NA,"Ange n Sulley","Reviewed in Australia on 20 November 2023","1.0 out of 5 stars","Verified Purchase","These are great. I could even attach them to the screen door inside and out. And were great in pots"
"4","40 PCS Sticky Traps, GeeRic Sticky Fruit Fly and Plant Gnat Bug Traps for Indoor/Outdoor Use, Dual-Sided Blue Sticky Traps Insect Catcher for White Flies, Mosquitos, Fungus Gnats, Flying Insects",NA,"mishi","Reviewed in Australia on 31 January 2024","5.0 out of 5 stars","Verified Purchase","Value for money"
"5","40 PCS Sticky Traps, GeeRic Sticky Fruit Fly and Plant Gnat Bug Traps for Indoor/Outdoor Use, Dual-Sided Blue Sticky Traps Insect Catcher for White Flies, Mosquitos, Fungus Gnats, Flying Insects",NA,"Kerri","Reviewed in Australia on 1 January 2024","5.0 out of 5 stars","Verified Purchase","The sticky trap works within 30 sec of sticking it into the soil. Only 3,473 remaining gnats to land on the traps."
"6","40 PCS Sticky Traps, GeeRic Sticky Fruit Fly and Plant Gnat Bug Traps for Indoor/Outdoor Use, Dual-Sided Blue Sticky Traps Insect Catcher for White Flies, Mosquitos, Fungus Gnats, Flying Insects",NA,"Farahana Ekanayake","Reviewed in Australia on 22 December 2023","5.0 out of 5 stars","Verified Purchase","These work amazingly easy to set affordable and great value"
"7","40 PCS Sticky Traps, GeeRic Sticky Fruit Fly and Plant Gnat Bug Traps for Indoor/Outdoor Use, Dual-Sided Blue Sticky Traps Insect Catcher for White Flies, Mosquitos, Fungus Gnats, Flying Insects",NA,"Johnnie","Reviewed in Australia on 17 July 2023","5.0 out of 5 stars","Verified Purchase","Had an infestation of tiny flies from potting mix.  Put these in the pots and the flies disappeared overnight.  Wonderful"
"8","40 PCS Sticky Traps, GeeRic Sticky Fruit Fly and Plant Gnat Bug Traps for Indoor/Outdoor Use, Dual-Sided Blue Sticky Traps Insect Catcher for White Flies, Mosquitos, Fungus Gnats, Flying Insects",NA,"wade","Reviewed in Australia on 27 October 2023","5.0 out of 5 stars","Verified Purchase","Good sticky level, definitely work. Some I have brought don't have much stickiness & I have actually seen gnats fly off them!! I much prefer the black instead of yellow, less obtrusive on the eye allowing the plant to be the only focal point."
"9","40 PCS Sticky Traps, GeeRic Sticky Fruit Fly and Plant Gnat Bug Traps for Indoor/Outdoor Use, Dual-Sided Blue Sticky Traps Insect Catcher for White Flies, Mosquitos, Fungus Gnats, Flying Insects",NA,"wade","Reviewed in Australia on 8 October 2023","5.0 out of 5 stars","Verified Purchase","Works really well at keeping adult fungus knat away from my seedlings great value for money highly recommend"
"10","40 PCS Sticky Traps, GeeRic Sticky Fruit Fly and Plant Gnat Bug Traps for Indoor/Outdoor Use, Dual-Sided Blue Sticky Traps Insect Catcher for White Flies, Mosquitos, Fungus Gnats, Flying Insects",NA,"Amazon Customer","Reviewed in Australia on 29 March 2023","5.0 out of 5 stars","Verified Purchase","I was skeptical but the hang off trees if need be and really do attract the little gnat like bugs - I’m very happy with them"
"11","40 PCS Sticky Traps, GeeRic Sticky Fruit Fly and Plant Gnat Bug Traps for Indoor/Outdoor Use, Dual-Sided Blue Sticky Traps Insect Catcher for White Flies, Mosquitos, Fungus Gnats, Flying Insects",NA,"Ange n Sulley","Reviewed in Australia on 20 November 2023","4.2 out of 5 stars","Verified Purchase","Purchased the sticky traps to clear some pots of gnats, in the photo you will see a number of the pests stuck to the trap. The seedlings are now growing well again."
"12","40 PCS Sticky Traps, GeeRic Sticky Fruit Fly and Plant Gnat Bug Traps for Indoor/Outdoor Use, Dual-Sided Blue Sticky Traps Insect Catcher for White Flies, Mosquitos, Fungus Gnats, Flying Insects",NA,"SophK","Reviewed in Australia on 20 January 2024","5.0 out of 5 stars","Verified Purchase","I've used the yellow for a while now, then realizedthey existed in black. I didn't know if they would look ""too dark"" but actually they look so much classier. Recommend"
"13","40 PCS Sticky Traps, GeeRic Sticky Fruit Fly and Plant Gnat Bug Traps for Indoor/Outdoor Use, Dual-Sided Blue Sticky Traps Insect Catcher for White Flies, Mosquitos, Fungus Gnats, Flying Insects",NA,"C Dibble","Reviewed in Australia on 26 February 2023","1.0 out of 5 stars","Verified Purchase","These worked really well in my indoor plants, all bugs have nearly gone!"
"14","40 PCS Sticky Traps, GeeRic Sticky Fruit Fly and Plant Gnat Bug Traps for Indoor/Outdoor Use, Dual-Sided Blue Sticky Traps Insect Catcher for White Flies, Mosquitos, Fungus Gnats, Flying Insects",NA,"C Dibble","Reviewed in Australia on 18 December 2022","5.0 out of 5 stars","Verified Purchase","Very good and highly recommend"
"15","40 PCS Sticky Traps, GeeRic Sticky Fruit Fly and Plant Gnat Bug Traps for Indoor/Outdoor Use, Dual-Sided Blue Sticky Traps Insect Catcher for White Flies, Mosquitos, Fungus Gnats, Flying Insects",NA,"Lucie P.","Reviewed in Australia on 11 January 2023","5.0 out of 5 stars","Verified Purchase","Works well so far"
"16","40 PCS Sticky Traps, GeeRic Sticky Fruit Fly and Plant Gnat Bug Traps for Indoor/Outdoor Use, Dual-Sided Blue Sticky Traps Insect Catcher for White Flies, Mosquitos, Fungus Gnats, Flying Insects",NA,"Kelly Dingwall","Reviewed in Australia on 2 March 2023","5.0 out of 5 stars","Verified Purchase",""
"17","40 PCS Sticky Traps, GeeRic Sticky Fruit Fly and Plant Gnat Bug Traps for Indoor/Outdoor Use, Dual-Sided Blue Sticky Traps Insect Catcher for White Flies, Mosquitos, Fungus Gnats, Flying Insects",NA,"Shejin antony","Reviewed in Australia on 27 October 2022","5.0 out of 5 stars","Verified Purchase","Kills all the tiny insects at an instant"
"18","40 PCS Sticky Traps, GeeRic Sticky Fruit Fly and Plant Gnat Bug Traps for Indoor/Outdoor Use, Dual-Sided Blue Sticky Traps Insect Catcher for White Flies, Mosquitos, Fungus Gnats, Flying Insects",NA,"Dean","Reviewed in Australia on 31 October 2022","5.0 out of 5 stars","Verified Purchase","I have quite a few indoor plants which had a lot of fungus gnats flying around them.  The stickiness of this product is great and since  using this product the amount of gnats flying around has dropped a lot. Great product."
"19","40 PCS Sticky Traps, GeeRic Sticky Fruit Fly and Plant Gnat Bug Traps for Indoor/Outdoor Use, Dual-Sided Blue Sticky Traps Insect Catcher for White Flies, Mosquitos, Fungus Gnats, Flying Insects",NA,"jen","Reviewed in Australia on 16 August 2022","5.0 out of 5 stars","Verified Purchase","Great for cleaning up the pests. These did come a bit melted. Be mindful to remove paper backing when item is cool."
"20","40 PCS Sticky Traps, GeeRic Sticky Fruit Fly and Plant Gnat Bug Traps for Indoor/Outdoor Use, Dual-Sided Blue Sticky Traps Insect Catcher for White Flies, Mosquitos, Fungus Gnats, Flying Insects",NA,"jen","Reviewed in Australia on 27 April 2023","5.0 out of 5 stars","Verified Purchase","These really work I never realised how many flying insects were living in the soil in my pots till I placed these in the dirt. I would highly recommend 👌"
"21","40 PCS Sticky Traps, GeeRic Sticky Fruit Fly and Plant Gnat Bug Traps for Indoor/Outdoor Use, Dual-Sided Blue Sticky Traps Insect Catcher for White Flies, Mosquitos, Fungus Gnats, Flying Insects","Perfect for fungus gnats","Ange n Sulley","Reviewed in Australia on 20 November 2023","4.2 out of 5 stars","Verified Purchase","My gorgeous hope philodendron was infested with fungus gnats. The different shaped traps were perfect to sort of hug the edge of the pot. The stupid little bugs seemed to run along the edge of the pot and then get caught up in the trap. The infestation is gone and it didn’t take many traps to achieve it!They are flimsy and can be a bit of a pain to put into the soil, but for the price and the amount in the package, it made it fine."
"22","40 PCS Sticky Traps, GeeRic Sticky Fruit Fly and Plant Gnat Bug Traps for Indoor/Outdoor Use, Dual-Sided Blue Sticky Traps Insect Catcher for White Flies, Mosquitos, Fungus Gnats, Flying Insects","Erfüllt den zweck","SophK","Reviewed in Australia on 20 January 2024","5.0 out of 5 stars","Verified Purchase","Erfüllt den Zweck"
"23","40 PCS Sticky Traps, GeeRic Sticky Fruit Fly and Plant Gnat Bug Traps for Indoor/Outdoor Use, Dual-Sided Blue Sticky Traps Insect Catcher for White Flies, Mosquitos, Fungus Gnats, Flying Insects","予想以上に虫が取れた。","Jordan","Reviewed in Canada on 25 February 2024","1.0 out of 5 stars","Verified Purchase","夏を過ぎていたが、庭木にぶら下げたところ、羽虫・ハエ‣他、沢山の虫が取れた。"
"24","40 PCS Sticky Traps, GeeRic Sticky Fruit Fly and Plant Gnat Bug Traps for Indoor/Outdoor Use, Dual-Sided Blue Sticky Traps Insect Catcher for White Flies, Mosquitos, Fungus Gnats, Flying Insects","Bien collant !","Anima","Reviewed in Germany on 21 January 2024","5.0 out of 5 stars","Verified Purchase","Je suis un peu envahie par les moucherons de terreau donc sans régler le problème, au moins ça en élimine une bonne partie. J'ai vu un commentaire comme quoi ça ne collait pas mais, franchement, regardez ma photo et vous verrez bien que ça colle très bien! Mon seul problème est qu'ils se remplissent rapidement mais bon, ça ne revient heureusement pas trop cher l'unité."
"25","40 PCS Sticky Traps, GeeRic Sticky Fruit Fly and Plant Gnat Bug Traps for Indoor/Outdoor Use, Dual-Sided Blue Sticky Traps Insect Catcher for White Flies, Mosquitos, Fungus Gnats, Flying Insects","Cumple con su función","tojyoinn","Reviewed in Japan on 23 December 2023","5.0 out of 5 stars","Verified Purchase","De momento sólo he colocado 3 y ha funcionado muy bien, en mi caso la infestación de mosquitas era muy leve (aproximandamente unas 10 visibles) y en un par de días conseguí atraparlas. A día de hoy no hay ninguna, aunque mantengo las pegatinas a la espera de que salgan futuras de los huevos que hayan podido poner.Además he echado tierra de diatomeas en el sustrato para impedir que las mosquitas depositen nuevos huevos.Las pegatinas tienen muy buena adherencia y el pincho no lleva pegamento por lo que se clava bastante bien en la tierra.Muy contenta con el producto."
"26","40 PCS Sticky Traps, GeeRic Sticky Fruit Fly and Plant Gnat Bug Traps for Indoor/Outdoor Use, Dual-Sided Blue Sticky Traps Insect Catcher for White Flies, Mosquitos, Fungus Gnats, Flying Insects","Yes good work fly of lots killed","Lisa Marie","Reviewed in France on 15 March 2024","5.0 out of 5 stars","Verified Purchase","Well done"
"27","40 PCS Sticky Traps, GeeRic Sticky Fruit Fly and Plant Gnat Bug Traps for Indoor/Outdoor Use, Dual-Sided Blue Sticky Traps Insect Catcher for White Flies, Mosquitos, Fungus Gnats, Flying Insects","Works great","Lisa Marie","Reviewed in Spain on 12 April 2023","5.0 out of 5 stars","Verified Purchase","Caught lots of fungus gnats.  I’d post a picture but I don’t think anyone needs to see a bunch of dead flies.  Good price and quantity, sticky and does what it says."
