"","Product","TitleOfReviews","NameOfReviewer","Date","Ratings","TypeOfReview","Reviews"
"1","Raid One Shot Crawling Insects Surface Spray Targetkill, Insect Spray with Protective Barrier up to 6 Months, Targeted Nozzle, 300g, 1 Count",NA,"Anton Olsen","Reviewed in Australia on 21 March 2024","4.3 out of 5 stars","Verified Purchase","Works well and good value for the price"
"2","Raid One Shot Crawling Insects Surface Spray Targetkill, Insect Spray with Protective Barrier up to 6 Months, Targeted Nozzle, 300g, 1 Count",NA,"James","Reviewed in Australia on 9 December 2023","5.0 out of 5 stars","Verified Purchase","Very good quality. No cockroach survives after they get a taste of this. I like the plastic extension for the spray too, it gives you a more targeted shot and you don’t waste as much. Highly recommend."
"3","Raid One Shot Crawling Insects Surface Spray Targetkill, Insect Spray with Protective Barrier up to 6 Months, Targeted Nozzle, 300g, 1 Count",NA,"paul alan james","Reviewed in Australia on 21 May 2022","5.0 out of 5 stars","Verified Purchase","Good product"
"4","Raid One Shot Crawling Insects Surface Spray Targetkill, Insect Spray with Protective Barrier up to 6 Months, Targeted Nozzle, 300g, 1 Count",NA,NA,NA,"5.0 out of 5 stars",NA,NA
"5","Raid One Shot Crawling Insects Surface Spray Targetkill, Insect Spray with Protective Barrier up to 6 Months, Targeted Nozzle, 300g, 1 Count",NA,NA,NA,NA,NA,NA
"6","Raid One Shot Crawling Insects Surface Spray Targetkill, Insect Spray with Protective Barrier up to 6 Months, Targeted Nozzle, 300g, 1 Count",NA,NA,NA,NA,NA,NA
"7","Raid One Shot Crawling Insects Surface Spray Targetkill, Insect Spray with Protective Barrier up to 6 Months, Targeted Nozzle, 300g, 1 Count",NA,NA,NA,NA,NA,NA
"8","Raid One Shot Crawling Insects Surface Spray Targetkill, Insect Spray with Protective Barrier up to 6 Months, Targeted Nozzle, 300g, 1 Count",NA,NA,NA,NA,NA,NA
"9","Raid One Shot Crawling Insects Surface Spray Targetkill, Insect Spray with Protective Barrier up to 6 Months, Targeted Nozzle, 300g, 1 Count",NA,NA,NA,NA,NA,NA
"10","Raid One Shot Crawling Insects Surface Spray Targetkill, Insect Spray with Protective Barrier up to 6 Months, Targeted Nozzle, 300g, 1 Count",NA,NA,NA,NA,NA,NA
"11","Raid One Shot Crawling Insects Surface Spray Targetkill, Insect Spray with Protective Barrier up to 6 Months, Targeted Nozzle, 300g, 1 Count",NA,"Anton Olsen","Reviewed in Australia on 21 March 2024","4.3 out of 5 stars","Verified Purchase","Works well and good value for the price"
"12","Raid One Shot Crawling Insects Surface Spray Targetkill, Insect Spray with Protective Barrier up to 6 Months, Targeted Nozzle, 300g, 1 Count",NA,"James","Reviewed in Australia on 9 December 2023","5.0 out of 5 stars","Verified Purchase","Very good quality. No cockroach survives after they get a taste of this. I like the plastic extension for the spray too, it gives you a more targeted shot and you don’t waste as much. Highly recommend."
"13","Raid One Shot Crawling Insects Surface Spray Targetkill, Insect Spray with Protective Barrier up to 6 Months, Targeted Nozzle, 300g, 1 Count",NA,"paul alan james","Reviewed in Australia on 21 May 2022","5.0 out of 5 stars","Verified Purchase","Good product"
"14","Raid One Shot Crawling Insects Surface Spray Targetkill, Insect Spray with Protective Barrier up to 6 Months, Targeted Nozzle, 300g, 1 Count",NA,NA,NA,"5.0 out of 5 stars",NA,NA
"15","Raid One Shot Crawling Insects Surface Spray Targetkill, Insect Spray with Protective Barrier up to 6 Months, Targeted Nozzle, 300g, 1 Count",NA,NA,NA,NA,NA,NA
"16","Raid One Shot Crawling Insects Surface Spray Targetkill, Insect Spray with Protective Barrier up to 6 Months, Targeted Nozzle, 300g, 1 Count",NA,NA,NA,NA,NA,NA
"17","Raid One Shot Crawling Insects Surface Spray Targetkill, Insect Spray with Protective Barrier up to 6 Months, Targeted Nozzle, 300g, 1 Count",NA,NA,NA,NA,NA,NA
"18","Raid One Shot Crawling Insects Surface Spray Targetkill, Insect Spray with Protective Barrier up to 6 Months, Targeted Nozzle, 300g, 1 Count",NA,NA,NA,NA,NA,NA
"19","Raid One Shot Crawling Insects Surface Spray Targetkill, Insect Spray with Protective Barrier up to 6 Months, Targeted Nozzle, 300g, 1 Count",NA,NA,NA,NA,NA,NA
"20","Raid One Shot Crawling Insects Surface Spray Targetkill, Insect Spray with Protective Barrier up to 6 Months, Targeted Nozzle, 300g, 1 Count",NA,NA,NA,NA,NA,NA
"21","Raid One Shot Crawling Insects Surface Spray Targetkill, Insect Spray with Protective Barrier up to 6 Months, Targeted Nozzle, 300g, 1 Count",NA,"Anton Olsen","Reviewed in Australia on 21 March 2024","4.3 out of 5 stars","Verified Purchase","Works well and good value for the price"
"22","Raid One Shot Crawling Insects Surface Spray Targetkill, Insect Spray with Protective Barrier up to 6 Months, Targeted Nozzle, 300g, 1 Count",NA,"James","Reviewed in Australia on 9 December 2023","5.0 out of 5 stars","Verified Purchase","Very good quality. No cockroach survives after they get a taste of this. I like the plastic extension for the spray too, it gives you a more targeted shot and you don’t waste as much. Highly recommend."
"23","Raid One Shot Crawling Insects Surface Spray Targetkill, Insect Spray with Protective Barrier up to 6 Months, Targeted Nozzle, 300g, 1 Count",NA,"paul alan james","Reviewed in Australia on 21 May 2022","5.0 out of 5 stars","Verified Purchase","Good product"
"24","Raid One Shot Crawling Insects Surface Spray Targetkill, Insect Spray with Protective Barrier up to 6 Months, Targeted Nozzle, 300g, 1 Count",NA,NA,NA,"5.0 out of 5 stars",NA,NA
"25","Raid One Shot Crawling Insects Surface Spray Targetkill, Insect Spray with Protective Barrier up to 6 Months, Targeted Nozzle, 300g, 1 Count",NA,NA,NA,NA,NA,NA
"26","Raid One Shot Crawling Insects Surface Spray Targetkill, Insect Spray with Protective Barrier up to 6 Months, Targeted Nozzle, 300g, 1 Count",NA,NA,NA,NA,NA,NA
"27","Raid One Shot Crawling Insects Surface Spray Targetkill, Insect Spray with Protective Barrier up to 6 Months, Targeted Nozzle, 300g, 1 Count",NA,NA,NA,NA,NA,NA
"28","Raid One Shot Crawling Insects Surface Spray Targetkill, Insect Spray with Protective Barrier up to 6 Months, Targeted Nozzle, 300g, 1 Count",NA,NA,NA,NA,NA,NA
"29","Raid One Shot Crawling Insects Surface Spray Targetkill, Insect Spray with Protective Barrier up to 6 Months, Targeted Nozzle, 300g, 1 Count",NA,NA,NA,NA,NA,NA
"30","Raid One Shot Crawling Insects Surface Spray Targetkill, Insect Spray with Protective Barrier up to 6 Months, Targeted Nozzle, 300g, 1 Count",NA,NA,NA,NA,NA,NA
"31","Raid One Shot Crawling Insects Surface Spray Targetkill, Insect Spray with Protective Barrier up to 6 Months, Targeted Nozzle, 300g, 1 Count",NA,"Anton Olsen","Reviewed in Australia on 21 March 2024","4.3 out of 5 stars","Verified Purchase","Works well and good value for the price"
