"","Product","TitleOfReviews","NameOfReviewer","Date","Ratings","TypeOfReview","Reviews"
"1","304 Stainless Steel Kitchen Cooking Tongs, 9 and 12 Set of 2 Sturdy Grilling Barbeque Brushed Locking Food Tongs with Ergonomic Grip, Black",NA,"Paul and Amy","Reviewed in the United States on January 29, 2024","4.7 out of 5 stars","Verified Purchase","Great tongs for cooking or serving. Comfortable grip. Feel very sturdy, not cheap like many others. Bought 4 sets for ourselves and family.Love it"
"2","304 Stainless Steel Kitchen Cooking Tongs, 9 and 12 Set of 2 Sturdy Grilling Barbeque Brushed Locking Food Tongs with Ergonomic Grip, Black",NA,"Veed","Reviewed in the United States on March 2, 2024","5.0 out of 5 stars","Verified Purchase","These are two very sturdy tongs for a great price. They are not rubber tipped but great for plucking foods off your grill and out of yours cast iron skillets. Plus they snug up for easy storage or hanging up. My best by in a long time."
"3","304 Stainless Steel Kitchen Cooking Tongs, 9 and 12 Set of 2 Sturdy Grilling Barbeque Brushed Locking Food Tongs with Ergonomic Grip, Black",NA,"Paul and Amy","Reviewed in the United States on January 29, 2024","3.0 out of 5 stars","Verified Purchase","these are great! Heavy duty, easy to clean, look good and do the job! A must for anyone who loves to cook!"
"4","304 Stainless Steel Kitchen Cooking Tongs, 9 and 12 Set of 2 Sturdy Grilling Barbeque Brushed Locking Food Tongs with Ergonomic Grip, Black",NA,"dianne klump","Reviewed in the United States on January 12, 2024","5.0 out of 5 stars","Verified Purchase","I've bought a couple pair now and they hold up well.  They're strong and precise and lock easily.  Would buy again!"
"5","304 Stainless Steel Kitchen Cooking Tongs, 9 and 12 Set of 2 Sturdy Grilling Barbeque Brushed Locking Food Tongs with Ergonomic Grip, Black",NA,"Theresa Mckee","Reviewed in the United States on February 3, 2024","5.0 out of 5 stars","Verified Purchase","I donated my silicone tipped tongs....they don't grab properly. These are strong, and just plain wonderful!"
"6","304 Stainless Steel Kitchen Cooking Tongs, 9 and 12 Set of 2 Sturdy Grilling Barbeque Brushed Locking Food Tongs with Ergonomic Grip, Black",NA,"Dan","Reviewed in the United States on January 24, 2024","5.0 out of 5 stars","Verified Purchase","Based upon the reviews, these seemed like a good buy and I am satisfied with what I received. They do what they are designed to do."
"7","304 Stainless Steel Kitchen Cooking Tongs, 9 and 12 Set of 2 Sturdy Grilling Barbeque Brushed Locking Food Tongs with Ergonomic Grip, Black",NA,"JEB","Reviewed in the United States on February 29, 2024","5.0 out of 5 stars","Verified Purchase","I love that these are so long. They are great."
"8","304 Stainless Steel Kitchen Cooking Tongs, 9 and 12 Set of 2 Sturdy Grilling Barbeque Brushed Locking Food Tongs with Ergonomic Grip, Black",NA,"Mr Miami","Reviewed in the United States on March 16, 2024","5.0 out of 5 stars","Verified Purchase","Great product well worth the money"
"9","304 Stainless Steel Kitchen Cooking Tongs, 9 and 12 Set of 2 Sturdy Grilling Barbeque Brushed Locking Food Tongs with Ergonomic Grip, Black",NA,"ckrank424","Reviewed in the United States on February 13, 2024","5.0 out of 5 stars","Verified Purchase","GOOD PRICE, GOOD PRODUCT, DOES THE JOB"
"10","304 Stainless Steel Kitchen Cooking Tongs, 9 and 12 Set of 2 Sturdy Grilling Barbeque Brushed Locking Food Tongs with Ergonomic Grip, Black",NA,"JC","Reviewed in the United States on March 24, 2024","5.0 out of 5 stars","Verified Purchase","These were just as described."
"11","304 Stainless Steel Kitchen Cooking Tongs, 9 and 12 Set of 2 Sturdy Grilling Barbeque Brushed Locking Food Tongs with Ergonomic Grip, Black",NA,"Paul and Amy","Reviewed in the United States on January 29, 2024","4.7 out of 5 stars","Verified Purchase","I’ve had a few slightly different kind of cooking tongs over the years; but these are my favorites.  I especially like the gadget in the handle that you push or pull to make the tongs stay closed."
