"","Product","TitleOfReviews","NameOfReviewer","Date","Ratings","TypeOfReview","Reviews"
"1","Debco Perlite for Potting Mixes 5L - Improve Aeration and Moisture Retension - For Creating Own Mixes - Suitable for Propagation or Cutting Mix",NA,"JG","Reviewed in Australia on 6 December 2023","4.6 out of 5 stars","Verified Purchase","Affordable and great product.Perfect for making my own potting mixture.Will always need to keep myself instock of this item"
"2","Debco Perlite for Potting Mixes 5L - Improve Aeration and Moisture Retension - For Creating Own Mixes - Suitable for Propagation or Cutting Mix",NA,"Andski51","Reviewed in Australia on 27 August 2022","5.0 out of 5 stars","Verified Purchase","FANTASTIC PRODUCT. VERY HAPPY WITH MY PURCHASE. THANK YOU VERY MUCH FOR YOUR PROMPT DELIVERY."
"3","Debco Perlite for Potting Mixes 5L - Improve Aeration and Moisture Retension - For Creating Own Mixes - Suitable for Propagation or Cutting Mix",NA,"JG","Reviewed in Australia on 6 December 2023","3.0 out of 5 stars","Verified Purchase","Great love it"
"4","Debco Perlite for Potting Mixes 5L - Improve Aeration and Moisture Retension - For Creating Own Mixes - Suitable for Propagation or Cutting Mix",NA,"Annie Oakley","Reviewed in Australia on 25 November 2023","5.0 out of 5 stars","Verified Purchase","Great for carnivorous plants; add a bit of perlite and/or sand and you have a perfect mix for Venus flytraps, pitcher plants or sundews.You can use it for germination, propagation, adding moisture retention and air circulation into soil mixes... There are plenty of uses for peat moss and Debco is the best quality I've found so far.I like it a lot and so do my plants!"
"5","Debco Perlite for Potting Mixes 5L - Improve Aeration and Moisture Retension - For Creating Own Mixes - Suitable for Propagation or Cutting Mix",NA,"Tornado Succulents","Reviewed in Australia on 21 January 2024","5.0 out of 5 stars","Verified Purchase","Good price for a good product"
"6","Debco Perlite for Potting Mixes 5L - Improve Aeration and Moisture Retension - For Creating Own Mixes - Suitable for Propagation or Cutting Mix",NA,"Kieran","Reviewed in Australia on 7 July 2023","5.0 out of 5 stars","Verified Purchase","This is very good for soils mixed"
"7","Debco Perlite for Potting Mixes 5L - Improve Aeration and Moisture Retension - For Creating Own Mixes - Suitable for Propagation or Cutting Mix",NA,"Cat","Reviewed in Australia on 26 October 2023","5.0 out of 5 stars","Verified Purchase","As advertised. Prompt delivery ♥"
"8","Debco Perlite for Potting Mixes 5L - Improve Aeration and Moisture Retension - For Creating Own Mixes - Suitable for Propagation or Cutting Mix",NA,"Dar","Reviewed in Australia on 2 November 2023","5.0 out of 5 stars","Verified Purchase","Please wear a mask when opening the package. Good product."
"9","Debco Perlite for Potting Mixes 5L - Improve Aeration and Moisture Retension - For Creating Own Mixes - Suitable for Propagation or Cutting Mix",NA,"Mark Barbulovic.","Reviewed in Australia on 27 October 2023","5.0 out of 5 stars","Verified Purchase","I'm using this product for most of my plant."
"10","Debco Perlite for Potting Mixes 5L - Improve Aeration and Moisture Retension - For Creating Own Mixes - Suitable for Propagation or Cutting Mix",NA,"Tree views","Reviewed in Australia on 22 September 2023","5.0 out of 5 stars","Verified Purchase","Good for use in reptile tanks as they can burrow in it"
"11","Debco Perlite for Potting Mixes 5L - Improve Aeration and Moisture Retension - For Creating Own Mixes - Suitable for Propagation or Cutting Mix",NA,"JG","Reviewed in Australia on 6 December 2023","4.6 out of 5 stars","Verified Purchase","The ideal addition to my potting mixes - as long as one uses a face mask"
"12","Debco Perlite for Potting Mixes 5L - Improve Aeration and Moisture Retension - For Creating Own Mixes - Suitable for Propagation or Cutting Mix",NA,"Andski51","Reviewed in Australia on 27 August 2022","5.0 out of 5 stars","Verified Purchase","Perfect product for adding drainage to my succulent mix."
"13","Debco Perlite for Potting Mixes 5L - Improve Aeration and Moisture Retension - For Creating Own Mixes - Suitable for Propagation or Cutting Mix",NA,"Richard","Reviewed in Australia on 12 May 2023","3.0 out of 5 stars","Verified Purchase","Excellent price very happy with purchase. Great for plants! Super fast delivery !"
"14","Debco Perlite for Potting Mixes 5L - Improve Aeration and Moisture Retension - For Creating Own Mixes - Suitable for Propagation or Cutting Mix",NA,"Rookie","Reviewed in Australia on 24 April 2023","5.0 out of 5 stars","Verified Purchase","I am a novice gardener. It seems totally okay. The delivery was super fast."
"15","Debco Perlite for Potting Mixes 5L - Improve Aeration and Moisture Retension - For Creating Own Mixes - Suitable for Propagation or Cutting Mix",NA,"Roger A","Reviewed in Australia on 1 March 2023","5.0 out of 5 stars","Verified Purchase","Great product Thankyou"
