"","Product","TitleOfReviews","NameOfReviewer","Date","Ratings","TypeOfReview","Reviews"
"1","Indoor Potting Mix",NA,"Teresa","Reviewed in Australia on 25 February 2024","4.7 out of 5 stars","Verified Purchase","Good quality and indoor plants are thriving."
"2","Indoor Potting Mix",NA,"Steve Brooker","Reviewed in Australia on 27 September 2023","5.0 out of 5 stars","Verified Purchase","Easy to use, keep those plants happy nice and moist"
"3","Indoor Potting Mix",NA,NA,NA,"5.0 out of 5 stars",NA,NA
"4","Indoor Potting Mix",NA,NA,NA,NA,NA,NA
"5","Indoor Potting Mix",NA,NA,NA,NA,NA,NA
"6","Indoor Potting Mix",NA,NA,NA,NA,NA,NA
"7","Indoor Potting Mix",NA,NA,NA,NA,NA,NA
"8","Indoor Potting Mix",NA,NA,NA,NA,NA,NA
"9","Indoor Potting Mix",NA,NA,NA,NA,NA,NA
"10","Indoor Potting Mix",NA,NA,NA,NA,NA,NA
"11","Indoor Potting Mix",NA,"Teresa","Reviewed in Australia on 25 February 2024","4.7 out of 5 stars","Verified Purchase","Good quality and indoor plants are thriving."
"12","Indoor Potting Mix",NA,"Steve Brooker","Reviewed in Australia on 27 September 2023","5.0 out of 5 stars","Verified Purchase","Easy to use, keep those plants happy nice and moist"
"13","Indoor Potting Mix",NA,NA,NA,"5.0 out of 5 stars",NA,NA
"14","Indoor Potting Mix",NA,NA,NA,NA,NA,NA
"15","Indoor Potting Mix",NA,NA,NA,NA,NA,NA
"16","Indoor Potting Mix",NA,NA,NA,NA,NA,NA
"17","Indoor Potting Mix",NA,NA,NA,NA,NA,NA
"18","Indoor Potting Mix",NA,NA,NA,NA,NA,NA
"19","Indoor Potting Mix",NA,NA,NA,NA,NA,NA
"20","Indoor Potting Mix",NA,NA,NA,NA,NA,NA
"21","Indoor Potting Mix",NA,"Teresa","Reviewed in Australia on 25 February 2024","4.7 out of 5 stars","Verified Purchase","Good quality and indoor plants are thriving."
"22","Indoor Potting Mix",NA,"Steve Brooker","Reviewed in Australia on 27 September 2023","5.0 out of 5 stars","Verified Purchase","Easy to use, keep those plants happy nice and moist"
"23","Indoor Potting Mix",NA,NA,NA,"5.0 out of 5 stars",NA,NA
"24","Indoor Potting Mix",NA,NA,NA,NA,NA,NA
"25","Indoor Potting Mix",NA,NA,NA,NA,NA,NA
"26","Indoor Potting Mix",NA,NA,NA,NA,NA,NA
"27","Indoor Potting Mix",NA,NA,NA,NA,NA,NA
"28","Indoor Potting Mix",NA,NA,NA,NA,NA,NA
"29","Indoor Potting Mix",NA,NA,NA,NA,NA,NA
"30","Indoor Potting Mix",NA,NA,NA,NA,NA,NA
"31","Indoor Potting Mix",NA,"Teresa","Reviewed in Australia on 25 February 2024","4.7 out of 5 stars","Verified Purchase","Good quality and indoor plants are thriving."
"32","Indoor Potting Mix",NA,"Steve Brooker","Reviewed in Australia on 27 September 2023","5.0 out of 5 stars","Verified Purchase","Easy to use, keep those plants happy nice and moist"
"33","Indoor Potting Mix",NA,NA,NA,"5.0 out of 5 stars",NA,NA
"34","Indoor Potting Mix",NA,NA,NA,NA,NA,NA
"35","Indoor Potting Mix",NA,NA,NA,NA,NA,NA
"36","Indoor Potting Mix",NA,NA,NA,NA,NA,NA
"37","Indoor Potting Mix",NA,NA,NA,NA,NA,NA
"38","Indoor Potting Mix",NA,NA,NA,NA,NA,NA
"39","Indoor Potting Mix",NA,NA,NA,NA,NA,NA
"40","Indoor Potting Mix",NA,NA,NA,NA,NA,NA
"41","Indoor Potting Mix",NA,"Teresa","Reviewed in Australia on 25 February 2024","4.7 out of 5 stars","Verified Purchase","Good quality and indoor plants are thriving."
"42","Indoor Potting Mix",NA,"Steve Brooker","Reviewed in Australia on 27 September 2023","5.0 out of 5 stars","Verified Purchase","Easy to use, keep those plants happy nice and moist"
"43","Indoor Potting Mix",NA,NA,NA,"5.0 out of 5 stars",NA,NA
"44","Indoor Potting Mix",NA,NA,NA,NA,NA,NA
"45","Indoor Potting Mix",NA,NA,NA,NA,NA,NA
"46","Indoor Potting Mix",NA,NA,NA,NA,NA,NA
"47","Indoor Potting Mix",NA,NA,NA,NA,NA,NA
"48","Indoor Potting Mix",NA,NA,NA,NA,NA,NA
"49","Indoor Potting Mix",NA,NA,NA,NA,NA,NA
"50","Indoor Potting Mix",NA,NA,NA,NA,NA,NA
