"","Product","TitleOfReviews","NameOfReviewer","Date","Ratings","TypeOfReview","Reviews"
"1","Fly Fans, Repellent Outdoor Indoor Keep Flies Away",NA,"Lea Hanna Dickens","Reviewed in the United States on April 29, 2023","4.7 out of 5 stars","Verified Purchase","These are great fans for keeping flies and bugs away from food as well as keeping mosquitoes away when we're hanging out outside. Highly recommend!"
"2","Fly Fans, Repellent Outdoor Indoor Keep Flies Away",NA,"NorCal","Reviewed in the United States on December 28, 2023","5.0 out of 5 stars","Verified Purchase","I purchased these because I enjoy being outdoors by the pool.  Living in South Texas we spend a lot of time outside but flies tend to be an issue.  The’s little fans work great they keep flies away from food make no noise and won’t hurt you if you accidentally get struck by one.  I have bought more to give as gifts and everyone loves them."
"3","Fly Fans, Repellent Outdoor Indoor Keep Flies Away",NA,"Amazon Customer","Reviewed in the United States on March 8, 2024","3.0 out of 5 stars","Verified Purchase","Work really good"
"4","Fly Fans, Repellent Outdoor Indoor Keep Flies Away",NA,"Louis A. Cuevas","Reviewed in the United States on February 13, 2024","5.0 out of 5 stars","Verified Purchase","These fans are awesome for keeping the flys away! You can set a bunch of food out and put the fans over the food and the flys won’t land, it’s incredible."
"5","Fly Fans, Repellent Outdoor Indoor Keep Flies Away",NA,"Luis Sanguino","Reviewed in the United States on March 18, 2024","5.0 out of 5 stars","Verified Purchase","Works good"
"6","Fly Fans, Repellent Outdoor Indoor Keep Flies Away",NA,"Joe","Reviewed in the United States on February 26, 2024","5.0 out of 5 stars","Verified Purchase","These babies are great, we use them during BBQ days. The Flys get pissed off and leave mad.  We eat happy and no swatting necessary."
"7","Fly Fans, Repellent Outdoor Indoor Keep Flies Away",NA,"Rommel C.","Reviewed in the United States on March 12, 2024","5.0 out of 5 stars","Verified Purchase","These work amazing to keep away flies!! I don’t know how they work but I can finally enjoy food outside without the hassle of flies!!"
"8","Fly Fans, Repellent Outdoor Indoor Keep Flies Away",NA,"The absentee farmer","Reviewed in the United States on February 19, 2024","5.0 out of 5 stars","Verified Purchase","We bought even more after they worked so well keeping flys away!"
"9","Fly Fans, Repellent Outdoor Indoor Keep Flies Away",NA,"Amazon Customer","Reviewed in the United States on February 19, 2024","5.0 out of 5 stars","Verified Purchase","Does a wonderful job of keeping all of the bugs away from our food. Safe around kids, highly recommend!"
"10","Fly Fans, Repellent Outdoor Indoor Keep Flies Away",NA,"Amazon Customer","Reviewed in the United States on February 26, 2024","5.0 out of 5 stars","Verified Purchase","they do the job to repel insects especially yellow jackets.  bought another set for other family members."
"11","Fly Fans, Repellent Outdoor Indoor Keep Flies Away",NA,"Lea Hanna Dickens","Reviewed in the United States on April 29, 2023","4.7 out of 5 stars","Verified Purchase","These are great fans for keeping flies and bugs away from food as well as keeping mosquitoes away when we're hanging out outside. Highly recommend!"
"12","Fly Fans, Repellent Outdoor Indoor Keep Flies Away",NA,"NorCal","Reviewed in the United States on December 28, 2023","5.0 out of 5 stars","Verified Purchase","I purchased these because I enjoy being outdoors by the pool.  Living in South Texas we spend a lot of time outside but flies tend to be an issue.  The’s little fans work great they keep flies away from food make no noise and won’t hurt you if you accidentally get struck by one.  I have bought more to give as gifts and everyone loves them."
"13","Fly Fans, Repellent Outdoor Indoor Keep Flies Away",NA,"Amazon Customer","Reviewed in the United States on March 8, 2024","3.0 out of 5 stars","Verified Purchase","Work really good"
"14","Fly Fans, Repellent Outdoor Indoor Keep Flies Away",NA,"Louis A. Cuevas","Reviewed in the United States on February 13, 2024","5.0 out of 5 stars","Verified Purchase","These fans are awesome for keeping the flys away! You can set a bunch of food out and put the fans over the food and the flys won’t land, it’s incredible."
"15","Fly Fans, Repellent Outdoor Indoor Keep Flies Away",NA,"Luis Sanguino","Reviewed in the United States on March 18, 2024","5.0 out of 5 stars","Verified Purchase","Works good"
"16","Fly Fans, Repellent Outdoor Indoor Keep Flies Away",NA,"Joe","Reviewed in the United States on February 26, 2024","5.0 out of 5 stars","Verified Purchase","These babies are great, we use them during BBQ days. The Flys get pissed off and leave mad.  We eat happy and no swatting necessary."
"17","Fly Fans, Repellent Outdoor Indoor Keep Flies Away",NA,"Rommel C.","Reviewed in the United States on March 12, 2024","5.0 out of 5 stars","Verified Purchase","These work amazing to keep away flies!! I don’t know how they work but I can finally enjoy food outside without the hassle of flies!!"
"18","Fly Fans, Repellent Outdoor Indoor Keep Flies Away",NA,"The absentee farmer","Reviewed in the United States on February 19, 2024","5.0 out of 5 stars","Verified Purchase","We bought even more after they worked so well keeping flys away!"
"19","Fly Fans, Repellent Outdoor Indoor Keep Flies Away",NA,"Amazon Customer","Reviewed in the United States on February 19, 2024","5.0 out of 5 stars","Verified Purchase","Does a wonderful job of keeping all of the bugs away from our food. Safe around kids, highly recommend!"
"20","Fly Fans, Repellent Outdoor Indoor Keep Flies Away",NA,"Amazon Customer","Reviewed in the United States on February 26, 2024","5.0 out of 5 stars","Verified Purchase","they do the job to repel insects especially yellow jackets.  bought another set for other family members."
"21","Fly Fans, Repellent Outdoor Indoor Keep Flies Away",NA,"Lea Hanna Dickens","Reviewed in the United States on April 29, 2023","4.7 out of 5 stars","Verified Purchase","These are great fans for keeping flies and bugs away from food as well as keeping mosquitoes away when we're hanging out outside. Highly recommend!"
"22","Fly Fans, Repellent Outdoor Indoor Keep Flies Away",NA,"NorCal","Reviewed in the United States on December 28, 2023","5.0 out of 5 stars","Verified Purchase","I purchased these because I enjoy being outdoors by the pool.  Living in South Texas we spend a lot of time outside but flies tend to be an issue.  The’s little fans work great they keep flies away from food make no noise and won’t hurt you if you accidentally get struck by one.  I have bought more to give as gifts and everyone loves them."
"23","Fly Fans, Repellent Outdoor Indoor Keep Flies Away",NA,"Amazon Customer","Reviewed in the United States on March 8, 2024","3.0 out of 5 stars","Verified Purchase","Work really good"
